Age,M,F,SUM,Age,M,F,SUM
less than 1,368,301,669,1,429,400,829
2,464,429,893,3,495,451,946
4,527,442,969,5,586,497,"1,083"
6,536,571,"1,107",7,658,619,"1,277"
8,634,643,"1,277",9,635,614,"1,249"
10,661,624,"1,285",11,652,616,"1,268"
12,727,684,"1,411",13,692,692,"1,384"
14,756,731,"1,487",15,761,777,"1,538"
16,712,705,"1,417",17,777,700,"1,477"
18,727,692,"1,419",19,798,812,"1,610"
20,720,694,"1,414",21,718,771,"1,489"
22,846,831,"1,677",23,889,891,"1,780"
24,823,870,"1,693",25,838,744,"1,582"
26,773,799,"1,572",27,805,736,"1,541"
28,683,750,"1,433",29,715,693,"1,408"
30,677,682,"1,359",31,687,637,"1,324"
32,606,623,"1,229",33,607,651,"1,258"
34,646,657,"1,303",35,656,673,"1,329"
36,600,682,"1,282",37,686,746,"1,432"
38,691,771,"1,462",39,691,792,"1,483"
40,722,764,"1,486",41,717,816,"1,533"
42,721,857,"1,578",43,722,864,"1,586"
44,713,844,"1,557",45,705,901,"1,606"
46,752,889,"1,641",47,784,868,"1,652"
48,779,896,"1,675",49,837,918,"1,755"
50,750,934,"1,684",51,818,971,"1,789"
52,815,896,"1,711",53,786,907,"1,693"
54,762,896,"1,658",55,855,987,"1,842"
56,763,860,"1,623",57,742,824,"1,566"
58,651,746,"1,397",59,712,807,"1,519"
60,593,722,"1,315",61,557,690,"1,247"
62,566,667,"1,233",63,502,660,"1,162"
64,422,497,919,65,457,560,"1,017"
66,402,514,916,67,404,473,877
68,343,468,811,69,319,469,788
70,304,389,693,71,263,361,624
72,203,289,492,73,181,245,426
74,142,237,379,75,152,226,378
76,137,212,349,77,125,199,324
78,129,192,321,79,111,143,254
80,93,179,272,81,90,148,238
82,70,149,219,83,77,145,222
84,56,114,170,85,50,88,138
86,24,73,97,87,32,61,93
88,30,50,80,89,20,42,62
90,8,45,53,91,18,31,49
92,10,20,30,93,7,25,32
94,3,11,14,95,0,4,4
96,3,6,9,97,0,7,7
98,0,4,4,99,2,4,6
100,1,2,3,more than 100,3,3,6
