Age,M,F,SUM,Age,M,F,SUM
less than 1,472,433,905,1,557,522,"1,079"
2,608,613,"1,221",3,604,642,"1,246"
4,635,562,"1,197",5,700,642,"1,342"
6,708,643,"1,351",7,761,738,"1,499"
8,752,698,"1,450",9,662,672,"1,334"
10,733,677,"1,410",11,787,713,"1,500"
12,826,755,"1,581",13,785,725,"1,510"
14,818,753,"1,571",15,837,808,"1,645"
16,837,784,"1,621",17,808,855,"1,663"
18,773,834,"1,607",19,805,837,"1,642"
20,756,821,"1,577",21,762,791,"1,553"
22,863,897,"1,760",23,881,957,"1,838"
24,997,980,"1,977",25,919,912,"1,831"
26,931,943,"1,874",27,928,941,"1,869"
28,859,971,"1,830",29,942,999,"1,941"
30,909,991,"1,900",31,941,"1,009","1,950"
32,826,947,"1,773",33,905,"1,036","1,941"
34,884,"1,191","2,075",35,"1,075","1,207","2,282"
36,"1,030","1,299","2,329",37,"1,112","1,374","2,486"
38,"1,128","1,435","2,563",39,"1,248","1,479","2,727"
40,"1,160","1,556","2,716",41,"1,244","1,495","2,739"
42,"1,169","1,555","2,724",43,"1,146","1,505","2,651"
44,"1,113","1,464","2,577",45,"1,099","1,362","2,461"
46,"1,074","1,375","2,449",47,"1,117","1,451","2,568"
48,"1,123","1,478","2,601",49,"1,085","1,490","2,575"
50,"1,070","1,431","2,501",51,"1,036","1,413","2,449"
52,995,"1,370","2,365",53,946,"1,200","2,146"
54,949,"1,261","2,210",55,921,"1,290","2,211"
56,900,"1,207","2,107",57,873,"1,152","2,025"
58,862,"1,163","2,025",59,842,"1,178","2,020"
60,850,"1,103","1,953",61,696,973,"1,669"
62,760,938,"1,698",63,695,949,"1,644"
64,662,927,"1,589",65,627,868,"1,495"
66,593,825,"1,418",67,532,782,"1,314"
68,543,744,"1,287",69,518,691,"1,209"
70,480,637,"1,117",71,382,635,"1,017"
72,381,544,925,73,331,471,802
74,267,445,712,75,277,462,739
76,254,347,601,77,245,373,618
78,199,368,567,79,198,296,494
80,224,312,536,81,171,300,471
82,160,259,419,83,155,251,406
84,123,227,350,85,103,201,304
86,75,150,225,87,69,158,227
88,65,128,193,89,56,109,165
90,40,91,131,91,32,77,109
92,20,64,84,93,19,41,60
94,8,24,32,95,5,21,26
96,9,23,32,97,6,16,22
98,6,11,17,99,4,7,11
100,5,9,14,more than 100,10,12,22
