Age,M,F,SUM,Age,M,F,SUM
less than 1,681,625,"1,306",1,782,715,"1,497"
2,759,764,"1,523",3,775,741,"1,516"
4,819,769,"1,588",5,809,790,"1,599"
6,863,883,"1,746",7,922,919,"1,841"
8,866,865,"1,731",9,869,814,"1,683"
10,987,869,"1,856",11,962,871,"1,833"
12,"1,004",933,"1,937",13,"1,043",950,"1,993"
14,"1,041","1,015","2,056",15,"1,105","1,051","2,156"
16,"1,073","1,027","2,100",17,"1,084","1,046","2,130"
18,"1,085","1,021","2,106",19,"1,236","1,160","2,396"
20,"1,106","1,151","2,257",21,"1,141","1,152","2,293"
22,"1,391","1,365","2,756",23,"1,467","1,451","2,918"
24,"1,563","1,517","3,080",25,"1,394","1,447","2,841"
26,"1,408","1,454","2,862",27,"1,391","1,438","2,829"
28,"1,386","1,415","2,801",29,"1,351","1,445","2,796"
30,"1,324","1,285","2,609",31,"1,262","1,278","2,540"
32,"1,208","1,237","2,445",33,"1,294","1,286","2,580"
34,"1,314","1,401","2,715",35,"1,264","1,430","2,694"
36,"1,333","1,449","2,782",37,"1,337","1,516","2,853"
38,"1,419","1,539","2,958",39,"1,409","1,595","3,004"
40,"1,478","1,664","3,142",41,"1,350","1,581","2,931"
42,"1,355","1,599","2,954",43,"1,446","1,680","3,126"
44,"1,341","1,561","2,902",45,"1,291","1,667","2,958"
46,"1,297","1,601","2,898",47,"1,349","1,642","2,991"
48,"1,402","1,673","3,075",49,"1,329","1,631","2,960"
50,"1,359","1,734","3,093",51,"1,432","1,814","3,246"
52,"1,400","1,759","3,159",53,"1,363","1,805","3,168"
54,"1,417","1,818","3,235",55,"1,450","1,733","3,183"
56,"1,400","1,753","3,153",57,"1,379","1,737","3,116"
58,"1,316","1,692","3,008",59,"1,323","1,671","2,994"
60,"1,235","1,626","2,861",61,"1,174","1,493","2,667"
62,"1,073","1,414","2,487",63,"1,051","1,426","2,477"
64,939,"1,277","2,216",65,934,"1,336","2,270"
66,818,"1,205","2,023",67,754,"1,126","1,880"
68,765,"1,069","1,834",69,693,970,"1,663"
70,645,959,"1,604",71,542,786,"1,328"
72,532,697,"1,229",73,399,665,"1,064"
74,405,615,"1,020",75,354,532,886
76,334,513,847,77,311,471,782
78,326,495,821,79,252,366,618
80,245,432,677,81,265,406,671
82,213,387,600,83,205,342,547
84,144,280,424,85,121,243,364
86,108,215,323,87,80,203,283
88,77,160,237,89,58,127,185
90,53,114,167,91,36,116,152
92,25,80,105,93,7,48,55
94,18,43,61,95,19,26,45
96,10,20,30,97,9,13,22
98,6,12,18,99,5,11,16
100,7,8,15,more than 100,9,13,22
