Age,M,F,SUM,Age,M,F,SUM
less than 1,601,585,"1,186",1,707,651,"1,358"
2,731,723,"1,454",3,799,723,"1,522"
4,778,742,"1,520",5,869,835,"1,704"
6,903,810,"1,713",7,905,903,"1,808"
8,946,854,"1,800",9,919,851,"1,770"
10,887,828,"1,715",11,917,819,"1,736"
12,941,852,"1,793",13,943,914,"1,857"
14,933,991,"1,924",15,"1,035",963,"1,998"
16,968,969,"1,937",17,959,"1,024","1,983"
18,975,"1,020","1,995",19,"1,063","1,083","2,146"
20,"1,080",992,"2,072",21,"1,351","1,056","2,407"
22,"1,864","1,285","3,149",23,"1,350","1,249","2,599"
24,"1,358","1,334","2,692",25,"1,217","1,209","2,426"
26,"1,257","1,221","2,478",27,"1,263","1,288","2,551"
28,"1,249","1,235","2,484",29,"1,241","1,318","2,559"
30,"1,183","1,218","2,401",31,"1,228","1,283","2,511"
32,"1,144","1,228","2,372",33,"1,197","1,322","2,519"
34,"1,248","1,445","2,693",35,"1,355","1,488","2,843"
36,"1,382","1,555","2,937",37,"1,465","1,749","3,214"
38,"1,542","1,727","3,269",39,"1,541","1,832","3,373"
40,"1,593","1,884","3,477",41,"1,505","1,764","3,269"
42,"1,541","1,757","3,298",43,"1,483","1,823","3,306"
44,"1,512","1,702","3,214",45,"1,477","1,739","3,216"
46,"1,431","1,723","3,154",47,"1,483","1,745","3,228"
48,"1,459","1,865","3,324",49,"1,461","1,806","3,267"
50,"1,513","1,779","3,292",51,"1,563","1,760","3,323"
52,"1,512","1,812","3,324",53,"1,336","1,721","3,057"
54,"1,422","1,789","3,211",55,"1,453","1,715","3,168"
56,"1,337","1,591","2,928",57,"1,297","1,601","2,898"
58,"1,272","1,504","2,776",59,"1,262","1,532","2,794"
60,"1,119","1,403","2,522",61,"1,040","1,343","2,383"
62,962,"1,282","2,244",63,895,"1,260","2,155"
64,815,"1,114","1,929",65,766,"1,138","1,904"
66,695,"1,007","1,702",67,704,944,"1,648"
68,639,879,"1,518",69,614,884,"1,498"
70,572,870,"1,442",71,493,705,"1,198"
72,486,642,"1,128",73,428,611,"1,039"
74,402,561,963,75,335,533,868
76,323,489,812,77,288,445,733
78,308,456,764,79,247,372,619
80,243,393,636,81,218,363,581
82,173,315,488,83,190,288,478
84,174,269,443,85,142,230,372
86,115,168,283,87,110,198,308
88,81,149,230,89,68,117,185
90,53,96,149,91,39,69,108
92,43,62,105,93,17,59,76
94,17,45,62,95,14,27,41
96,11,21,32,97,6,16,22
98,8,13,21,99,8,2,10
100,3,7,10,more than 100,15,26,41
