Age,M,F,SUM,Age,M,F,SUM
less than 1,247,239,486,1,271,262,533
2,302,279,581,3,291,300,591
4,330,329,659,5,348,320,668
6,388,339,727,7,432,385,817
8,421,370,791,9,423,384,807
10,397,407,804,11,440,387,827
12,457,406,863,13,460,401,861
14,487,426,913,15,478,453,931
16,475,429,904,17,444,446,890
18,462,456,918,19,478,487,965
20,487,513,"1,000",21,458,512,970
22,548,602,"1,150",23,568,600,"1,168"
24,632,614,"1,246",25,554,590,"1,144"
26,608,603,"1,211",27,600,589,"1,189"
28,528,561,"1,089",29,564,597,"1,161"
30,505,492,997,31,573,542,"1,115"
32,488,558,"1,046",33,483,549,"1,032"
34,541,567,"1,108",35,533,526,"1,059"
36,541,586,"1,127",37,596,611,"1,207"
38,585,574,"1,159",39,598,652,"1,250"
40,571,595,"1,166",41,610,585,"1,195"
42,543,616,"1,159",43,557,639,"1,196"
44,534,613,"1,147",45,533,651,"1,184"
46,532,612,"1,144",47,559,585,"1,144"
48,581,626,"1,207",49,503,620,"1,123"
50,534,596,"1,130",51,509,614,"1,123"
52,505,601,"1,106",53,504,671,"1,175"
54,580,669,"1,249",55,619,685,"1,304"
56,593,672,"1,265",57,560,699,"1,259"
58,559,674,"1,233",59,556,729,"1,285"
60,568,677,"1,245",61,530,676,"1,206"
62,540,684,"1,224",63,527,635,"1,162"
64,498,626,"1,124",65,523,664,"1,187"
66,432,612,"1,044",67,459,568,"1,027"
68,388,537,925,69,395,568,963
70,377,494,871,71,339,443,782
72,253,377,630,73,265,331,596
74,235,304,539,75,173,292,465
76,194,286,480,77,169,260,429
78,148,264,412,79,137,220,357
80,139,250,389,81,134,210,344
82,127,203,330,83,129,198,327
84,102,166,268,85,83,156,239
86,59,128,187,87,50,115,165
88,45,107,152,89,39,101,140
90,41,80,121,91,17,59,76
92,25,43,68,93,19,45,64
94,16,25,41,95,11,11,22
96,9,13,22,97,12,11,23
98,12,11,23,99,6,6,12
100,7,4,11,more than 100,13,21,34
