Age,M,F,SUM,Age,M,F,SUM
less than 1,810,760,"1,570",1,892,884,"1,776"
2,939,928,"1,867",3,947,941,"1,888"
4,"1,049",972,"2,021",5,"1,151","1,038","2,189"
6,"1,167","1,113","2,280",7,"1,284","1,196","2,480"
8,"1,173","1,126","2,299",9,"1,134","1,035","2,169"
10,"1,227","1,091","2,318",11,"1,218","1,129","2,347"
12,"1,275","1,178","2,453",13,"1,320","1,164","2,484"
14,"1,271","1,209","2,480",15,"1,333","1,195","2,528"
16,"1,225","1,244","2,469",17,"1,249","1,240","2,489"
18,"1,174","1,158","2,332",19,"1,264","1,267","2,531"
20,"1,146","1,180","2,326",21,"1,086","1,241","2,327"
22,"1,320","1,411","2,731",23,"1,328","1,379","2,707"
24,"1,334","1,358","2,692",25,"1,258","1,329","2,587"
26,"1,273","1,311","2,584",27,"1,208","1,356","2,564"
28,"1,227","1,260","2,487",29,"1,190","1,254","2,444"
30,"1,130","1,280","2,410",31,"1,168","1,313","2,481"
32,"1,097","1,242","2,339",33,"1,118","1,346","2,464"
34,"1,265","1,479","2,744",35,"1,314","1,610","2,924"
36,"1,335","1,538","2,873",37,"1,366","1,745","3,111"
38,"1,493","1,723","3,216",39,"1,542","1,771","3,313"
40,"1,516","1,753","3,269",41,"1,511","1,714","3,225"
42,"1,471","1,862","3,333",43,"1,600","1,734","3,334"
44,"1,434","1,718","3,152",45,"1,418","1,645","3,063"
46,"1,372","1,666","3,038",47,"1,413","1,669","3,082"
48,"1,357","1,700","3,057",49,"1,473","1,657","3,130"
50,"1,333","1,611","2,944",51,"1,377","1,639","3,016"
52,"1,317","1,568","2,885",53,"1,305","1,553","2,858"
54,"1,309","1,535","2,844",55,"1,280","1,548","2,828"
56,"1,188","1,382","2,570",57,"1,110","1,441","2,551"
58,"1,025","1,308","2,333",59,"1,070","1,253","2,323"
60,990,"1,228","2,218",61,930,"1,089","2,019"
62,827,"1,107","1,934",63,781,947,"1,728"
64,714,945,"1,659",65,729,949,"1,678"
66,679,863,"1,542",67,586,771,"1,357"
68,544,731,"1,275",69,540,698,"1,238"
70,475,607,"1,082",71,419,552,971
72,335,444,779,73,280,390,670
74,280,400,680,75,271,351,622
76,225,319,544,77,209,272,481
78,189,302,491,79,157,241,398
80,177,273,450,81,155,252,407
82,112,229,341,83,107,214,321
84,107,159,266,85,65,131,196
86,57,126,183,87,53,116,169
88,52,82,134,89,26,67,93
90,24,68,92,91,22,52,74
92,27,61,88,93,14,35,49
94,10,20,30,95,13,19,32
96,6,13,19,97,8,13,21
98,1,9,10,99,3,5,8
100,6,3,9,more than 100,16,14,30
