Age,M,F,SUM,Age,M,F,SUM
less than 1,262,225,487,1,273,269,542
2,302,315,617,3,315,293,608
4,356,300,656,5,349,343,692
6,374,348,722,7,406,398,804
8,408,395,803,9,410,359,769
10,436,390,826,11,412,399,811
12,440,405,845,13,473,445,918
14,500,439,939,15,485,433,918
16,460,428,888,17,494,427,921
18,455,502,957,19,495,527,"1,022"
20,497,452,949,21,504,500,"1,004"
22,619,577,"1,196",23,666,609,"1,275"
24,626,632,"1,258",25,602,606,"1,208"
26,608,648,"1,256",27,658,677,"1,335"
28,683,735,"1,418",29,645,653,"1,298"
30,610,718,"1,328",31,630,727,"1,357"
32,547,682,"1,229",33,575,665,"1,240"
34,603,738,"1,341",35,658,779,"1,437"
36,665,751,"1,416",37,639,775,"1,414"
38,680,821,"1,501",39,654,833,"1,487"
40,669,854,"1,523",41,643,805,"1,448"
42,696,787,"1,483",43,663,791,"1,454"
44,627,786,"1,413",45,609,737,"1,346"
46,645,726,"1,371",47,580,753,"1,333"
48,626,785,"1,411",49,641,779,"1,420"
50,617,786,"1,403",51,636,788,"1,424"
52,647,720,"1,367",53,633,761,"1,394"
54,563,762,"1,325",55,686,772,"1,458"
56,682,798,"1,480",57,600,812,"1,412"
58,576,765,"1,341",59,624,707,"1,331"
60,579,685,"1,264",61,510,705,"1,215"
62,464,678,"1,142",63,458,588,"1,046"
64,444,537,981,65,378,599,977
66,377,510,887,67,352,500,852
68,359,512,871,69,353,449,802
70,328,435,763,71,288,364,652
72,212,323,535,73,226,309,535
74,193,265,458,75,184,277,461
76,171,273,444,77,143,224,367
78,141,219,360,79,137,197,334
80,129,228,357,81,134,193,327
82,93,169,262,83,83,170,253
84,75,144,219,85,85,127,212
86,72,102,174,87,58,100,158
88,43,91,134,89,39,62,101
90,29,49,78,91,34,61,95
92,23,48,71,93,17,32,49
94,12,27,39,95,9,27,36
96,12,13,25,97,9,12,21
98,8,13,21,99,5,7,12
100,9,10,19,more than 100,13,15,28
