Age,M,F,SUM,Age,M,F,SUM
less than 1,251,251,502,1,245,300,545
2,285,259,544,3,304,285,589
4,274,294,568,5,336,313,649
6,395,333,728,7,363,351,714
8,354,319,673,9,325,309,634
10,342,326,668,11,348,311,659
12,394,321,715,13,398,350,748
14,394,355,749,15,365,377,742
16,405,379,784,17,428,406,834
18,426,413,839,19,459,476,935
20,474,432,906,21,486,447,933
22,555,577,"1,132",23,580,626,"1,206"
24,617,688,"1,305",25,588,629,"1,217"
26,548,644,"1,192",27,590,645,"1,235"
28,610,643,"1,253",29,599,673,"1,272"
30,594,622,"1,216",31,619,630,"1,249"
32,564,608,"1,172",33,562,622,"1,184"
34,660,637,"1,297",35,620,701,"1,321"
36,657,715,"1,372",37,645,726,"1,371"
38,660,746,"1,406",39,646,789,"1,435"
40,641,769,"1,410",41,689,729,"1,418"
42,671,798,"1,469",43,658,834,"1,492"
44,641,711,"1,352",45,637,729,"1,366"
46,592,673,"1,265",47,582,764,"1,346"
48,646,738,"1,384",49,605,752,"1,357"
50,628,765,"1,393",51,644,769,"1,413"
52,639,749,"1,388",53,578,759,"1,337"
54,616,852,"1,468",55,635,846,"1,481"
56,644,780,"1,424",57,571,812,"1,383"
58,623,810,"1,433",59,555,760,"1,315"
60,582,818,"1,400",61,580,727,"1,307"
62,518,723,"1,241",63,565,740,"1,305"
64,510,731,"1,241",65,491,727,"1,218"
66,463,649,"1,112",67,488,588,"1,076"
68,412,668,"1,080",69,419,621,"1,040"
70,389,548,937,71,316,543,859
72,351,444,795,73,274,454,728
74,266,399,665,75,282,426,708
76,248,395,643,77,226,320,546
78,224,345,569,79,175,297,472
80,187,327,514,81,176,297,473
82,146,259,405,83,166,234,400
84,125,228,353,85,85,185,270
86,100,166,266,87,77,145,222
88,65,123,188,89,46,111,157
90,53,91,144,91,47,81,128
92,32,60,92,93,29,56,85
94,21,37,58,95,16,35,51
96,15,22,37,97,10,16,26
98,8,20,28,99,4,8,12
100,2,8,10,more than 100,10,21,31
