Age,M,F,SUM,Age,M,F,SUM
less than 1,98,95,193,1,93,98,191
2,100,107,207,3,114,104,218
4,119,107,226,5,134,119,253
6,148,128,276,7,150,129,279
8,143,121,264,9,147,113,260
10,130,125,255,11,167,163,330
12,172,147,319,13,147,130,277
14,158,170,328,15,140,182,322
16,161,187,348,17,151,165,316
18,171,152,323,19,201,183,384
20,187,173,360,21,153,193,346
22,224,238,462,23,208,262,470
24,230,257,487,25,239,240,479
26,227,241,468,27,245,259,504
28,240,242,482,29,231,270,501
30,230,246,476,31,278,243,521
32,256,237,493,33,225,235,460
34,238,247,485,35,225,281,506
36,237,287,524,37,274,278,552
38,268,254,522,39,269,303,572
40,262,285,547,41,256,317,573
42,257,308,565,43,237,318,555
44,248,297,545,45,239,287,526
46,252,294,546,47,232,301,533
48,283,308,591,49,236,283,519
50,243,275,518,51,222,306,528
52,267,283,550,53,220,294,514
54,257,321,578,55,230,325,555
56,221,323,544,57,224,330,554
58,208,318,526,59,249,331,580
60,241,321,562,61,219,302,521
62,229,320,549,63,223,295,518
64,236,309,545,65,223,334,557
66,209,272,481,67,200,291,491
68,198,312,510,69,202,294,496
70,220,288,508,71,166,271,437
72,164,213,377,73,128,182,310
74,120,181,301,75,117,154,271
76,96,142,238,77,100,155,255
78,101,139,240,79,71,116,187
80,79,147,226,81,87,148,235
82,62,104,166,83,56,123,179
84,53,98,151,85,40,75,115
86,43,83,126,87,33,79,112
88,31,58,89,89,24,46,70
90,20,36,56,91,14,44,58
92,10,20,30,93,20,28,48
94,10,19,29,95,5,12,17
96,4,11,15,97,2,11,13
98,5,10,15,99,1,5,6
100,1,4,5,more than 100,11,7,18
