Age,M,F,SUM,Age,M,F,SUM
less than 1,348,345,693,1,374,392,766
2,372,345,717,3,365,386,751
4,392,377,769,5,437,436,873
6,457,436,893,7,493,504,997
8,487,482,969,9,535,441,976
10,549,514,"1,063",11,556,515,"1,071"
12,554,562,"1,116",13,573,540,"1,113"
14,566,548,"1,114",15,659,569,"1,228"
16,608,560,"1,168",17,620,620,"1,240"
18,590,579,"1,169",19,651,638,"1,289"
20,643,599,"1,242",21,627,628,"1,255"
22,748,749,"1,497",23,745,815,"1,560"
24,799,867,"1,666",25,794,835,"1,629"
26,848,843,"1,691",27,904,866,"1,770"
28,905,976,"1,881",29,923,967,"1,890"
30,871,964,"1,835",31,835,943,"1,778"
32,891,957,"1,848",33,858,906,"1,764"
34,887,980,"1,867",35,946,943,"1,889"
36,918,941,"1,859",37,898,"1,034","1,932"
38,873,967,"1,840",39,899,"1,003","1,902"
40,870,"1,031","1,901",41,879,953,"1,832"
42,894,971,"1,865",43,832,975,"1,807"
44,856,967,"1,823",45,833,901,"1,734"
46,789,927,"1,716",47,840,974,"1,814"
48,887,"1,023","1,910",49,834,976,"1,810"
50,791,986,"1,777",51,834,"1,009","1,843"
52,791,964,"1,755",53,826,971,"1,797"
54,861,"1,024","1,885",55,917,"1,051","1,968"
56,819,"1,061","1,880",57,865,"1,057","1,922"
58,811,"1,092","1,903",59,871,"1,024","1,895"
60,845,"1,061","1,906",61,807,978,"1,785"
62,749,959,"1,708",63,695,922,"1,617"
64,642,959,"1,601",65,677,907,"1,584"
66,622,947,"1,569",67,584,824,"1,408"
68,587,851,"1,438",69,566,728,"1,294"
70,499,773,"1,272",71,414,651,"1,065"
72,414,601,"1,015",73,386,528,914
74,328,465,793,75,363,451,814
76,298,468,766,77,306,421,727
78,279,418,697,79,247,328,575
80,269,399,668,81,225,342,567
82,226,352,578,83,200,331,531
84,161,256,417,85,154,258,412
86,155,210,365,87,138,196,334
88,101,162,263,89,73,136,209
90,66,129,195,91,51,100,151
92,60,85,145,93,51,70,121
94,28,44,72,95,27,47,74
96,23,31,54,97,21,23,44
98,14,28,42,99,15,17,32
100,16,13,29,more than 100,50,49,99
