Age,M,F,SUM,Age,M,F,SUM
less than 1,271,219,490,1,294,277,571
2,314,289,603,3,308,282,590
4,327,294,621,5,321,344,665
6,340,324,664,7,377,408,785
8,415,364,779,9,367,357,724
10,381,377,758,11,427,379,806
12,440,430,870,13,440,419,859
14,438,475,913,15,465,468,933
16,470,450,920,17,489,502,991
18,492,467,959,19,592,564,"1,156"
20,584,506,"1,090",21,581,545,"1,126"
22,"1,108",615,"1,723",23,"1,129",686,"1,815"
24,804,709,"1,513",25,737,709,"1,446"
26,751,682,"1,433",27,657,640,"1,297"
28,706,701,"1,407",29,687,658,"1,345"
30,653,670,"1,323",31,649,693,"1,342"
32,646,633,"1,279",33,636,625,"1,261"
34,638,675,"1,313",35,671,664,"1,335"
36,670,689,"1,359",37,719,755,"1,474"
38,704,762,"1,466",39,688,709,"1,397"
40,716,833,"1,549",41,694,728,"1,422"
42,652,766,"1,418",43,688,788,"1,476"
44,710,750,"1,460",45,656,778,"1,434"
46,629,782,"1,411",47,718,762,"1,480"
48,729,870,"1,599",49,683,783,"1,466"
50,610,805,"1,415",51,721,892,"1,613"
52,701,889,"1,590",53,663,812,"1,475"
54,725,894,"1,619",55,723,950,"1,673"
56,744,948,"1,692",57,723,973,"1,696"
58,762,947,"1,709",59,751,901,"1,652"
60,745,904,"1,649",61,698,908,"1,606"
62,704,897,"1,601",63,704,924,"1,628"
64,640,852,"1,492",65,574,815,"1,389"
66,528,847,"1,375",67,540,798,"1,338"
68,494,701,"1,195",69,491,645,"1,136"
70,477,661,"1,138",71,419,580,999
72,354,552,906,73,336,460,796
74,296,422,718,75,286,412,698
76,272,382,654,77,207,389,596
78,234,385,619,79,197,322,519
80,191,381,572,81,206,321,527
82,204,310,514,83,199,289,488
84,161,269,430,85,152,231,383
86,151,182,333,87,111,189,300
88,93,182,275,89,80,133,213
90,68,113,181,91,46,93,139
92,55,97,152,93,58,62,120
94,26,53,79,95,22,33,55
96,15,29,44,97,20,30,50
98,15,19,34,99,18,15,33
100,13,11,24,more than 100,30,37,67
