Age,M,F,SUM,Age,M,F,SUM
less than 1,162,153,315,1,197,164,361
2,222,186,408,3,197,185,382
4,220,230,450,5,203,252,455
6,221,223,444,7,297,278,575
8,243,250,493,9,247,240,487
10,244,227,471,11,255,285,540
12,263,286,549,13,296,299,595
14,292,291,583,15,348,253,601
16,332,329,661,17,348,326,674
18,348,327,675,19,400,318,718
20,332,352,684,21,352,374,726
22,608,452,"1,060",23,593,444,"1,037"
24,574,488,"1,062",25,529,444,973
26,527,460,987,27,515,465,980
28,475,483,958,29,464,444,908
30,449,454,903,31,485,457,942
32,415,422,837,33,426,436,862
34,426,479,905,35,453,466,919
36,452,476,928,37,425,489,914
38,423,465,888,39,474,499,973
40,528,472,"1,000",41,440,514,954
42,511,503,"1,014",43,479,568,"1,047"
44,444,504,948,45,485,490,975
46,439,472,911,47,472,496,968
48,480,482,962,49,398,518,916
50,407,509,916,51,444,505,949
52,432,493,925,53,423,532,955
54,466,567,"1,033",55,437,591,"1,028"
56,423,556,979,57,469,535,"1,004"
58,439,489,928,59,470,575,"1,045"
60,454,571,"1,025",61,390,540,930
62,367,539,906,63,388,523,911
64,354,476,830,65,383,496,879
66,320,501,821,67,315,453,768
68,313,470,783,69,309,411,720
70,263,412,675,71,252,358,610
72,215,319,534,73,186,280,466
74,169,266,435,75,162,259,421
76,161,245,406,77,140,225,365
78,155,248,403,79,129,195,324
80,134,222,356,81,120,194,314
82,102,180,282,83,99,163,262
84,84,129,213,85,78,130,208
86,55,116,171,87,65,108,173
88,41,89,130,89,44,79,123
90,23,63,86,91,18,39,57
92,19,39,58,93,9,28,37
94,9,28,37,95,11,12,23
96,10,8,18,97,7,9,16
98,1,13,14,99,3,4,7
100,3,7,10,more than 100,7,8,15
