Age,M,F,SUM,Age,M,F,SUM
less than 1,447,387,834,1,533,520,"1,053"
2,543,577,"1,120",3,584,520,"1,104"
4,623,606,"1,229",5,680,619,"1,299"
6,694,629,"1,323",7,666,707,"1,373"
8,684,656,"1,340",9,660,644,"1,304"
10,750,710,"1,460",11,767,725,"1,492"
12,807,787,"1,594",13,799,740,"1,539"
14,816,766,"1,582",15,853,845,"1,698"
16,790,804,"1,594",17,772,752,"1,524"
18,791,782,"1,573",19,855,845,"1,700"
20,783,785,"1,568",21,774,875,"1,649"
22,869,982,"1,851",23,988,"1,058","2,046"
24,957,996,"1,953",25,987,942,"1,929"
26,919,"1,014","1,933",27,914,"1,029","1,943"
28,921,988,"1,909",29,866,956,"1,822"
30,880,918,"1,798",31,844,879,"1,723"
32,807,908,"1,715",33,836,976,"1,812"
34,911,"1,057","1,968",35,971,"1,094","2,065"
36,971,"1,190","2,161",37,"1,012","1,273","2,285"
38,"1,003","1,317","2,320",39,"1,112","1,318","2,430"
40,"1,083","1,387","2,470",41,"1,054","1,335","2,389"
42,"1,153","1,338","2,491",43,"1,059","1,315","2,374"
44,"1,083","1,377","2,460",45,"1,127","1,379","2,506"
46,"1,031","1,293","2,324",47,"1,123","1,359","2,482"
48,"1,118","1,393","2,511",49,"1,092","1,370","2,462"
50,"1,015","1,306","2,321",51,"1,091","1,394","2,485"
52,993,"1,227","2,220",53,"1,016","1,270","2,286"
54,"1,040","1,319","2,359",55,998,"1,264","2,262"
56,990,"1,341","2,331",57,949,"1,282","2,231"
58,890,"1,251","2,141",59,835,"1,211","2,046"
60,852,"1,160","2,012",61,764,"1,118","1,882"
62,721,962,"1,683",63,732,938,"1,670"
64,655,916,"1,571",65,657,910,"1,567"
66,593,874,"1,467",67,572,800,"1,372"
68,540,842,"1,382",69,526,674,"1,200"
70,461,657,"1,118",71,421,577,998
72,346,510,856,73,326,483,809
74,292,452,744,75,290,429,719
76,250,367,617,77,228,342,570
78,204,374,578,79,168,271,439
80,169,285,454,81,145,272,417
82,142,241,383,83,121,227,348
84,83,175,258,85,85,157,242
86,89,122,211,87,77,130,207
88,39,109,148,89,42,99,141
90,26,82,108,91,26,61,87
92,12,56,68,93,10,34,44
94,5,29,34,95,7,28,35
96,10,17,27,97,6,15,21
98,1,9,10,99,3,5,8
100,3,4,7,more than 100,4,7,11
