Age,M,F,SUM,Age,M,F,SUM
less than 1,418,412,830,1,503,526,"1,029"
2,545,483,"1,028",3,549,519,"1,068"
4,550,523,"1,073",5,645,618,"1,263"
6,651,556,"1,207",7,651,655,"1,306"
8,660,605,"1,265",9,645,604,"1,249"
10,714,706,"1,420",11,717,644,"1,361"
12,713,736,"1,449",13,704,727,"1,431"
14,710,709,"1,419",15,740,738,"1,478"
16,865,713,"1,578",17,969,708,"1,677"
18,"1,024",744,"1,768",19,960,796,"1,756"
20,798,802,"1,600",21,802,740,"1,542"
22,883,880,"1,763",23,947,936,"1,883"
24,913,913,"1,826",25,937,"1,002","1,939"
26,932,991,"1,923",27,956,"1,064","2,020"
28,"1,043","1,086","2,129",29,"1,082","1,127","2,209"
30,"1,083","1,154","2,237",31,"1,107","1,258","2,365"
32,"1,050","1,168","2,218",33,"1,106","1,351","2,457"
34,"1,105","1,400","2,505",35,"1,155","1,355","2,510"
36,"1,208","1,417","2,625",37,"1,242","1,471","2,713"
38,"1,200","1,503","2,703",39,"1,275","1,542","2,817"
40,"1,320","1,477","2,797",41,"1,243","1,459","2,702"
42,"1,243","1,475","2,718",43,"1,203","1,376","2,579"
44,"1,157","1,358","2,515",45,"1,041","1,316","2,357"
46,"1,077","1,340","2,417",47,"1,135","1,314","2,449"
48,"1,096","1,378","2,474",49,"1,139","1,339","2,478"
50,"1,095","1,304","2,399",51,"1,083","1,333","2,416"
52,"1,015","1,242","2,257",53,"1,031","1,209","2,240"
54,"1,009","1,218","2,227",55,"1,023","1,314","2,337"
56,"1,028","1,288","2,316",57,984,"1,208","2,192"
58,970,"1,205","2,175",59,926,"1,157","2,083"
60,907,"1,171","2,078",61,840,"1,098","1,938"
62,819,"1,081","1,900",63,811,"1,092","1,903"
64,702,"1,076","1,778",65,758,"1,019","1,777"
66,710,932,"1,642",67,679,969,"1,648"
68,644,864,"1,508",69,624,854,"1,478"
70,589,798,"1,387",71,540,711,"1,251"
72,473,688,"1,161",73,423,628,"1,051"
74,378,649,"1,027",75,312,538,850
76,339,557,896,77,306,529,835
78,320,521,841,79,256,416,672
80,294,452,746,81,276,429,705
82,259,396,655,83,286,380,666
84,227,329,556,85,216,332,548
86,168,252,420,87,147,264,411
88,111,197,308,89,86,170,256
90,82,141,223,91,64,111,175
92,57,112,169,93,41,87,128
94,25,77,102,95,37,44,81
96,23,51,74,97,17,34,51
98,13,25,38,99,10,24,34
100,11,10,21,more than 100,59,67,126
