Age,M,F,SUM,Age,M,F,SUM
less than 1,457,471,928,1,574,535,"1,109"
2,596,552,"1,148",3,579,539,"1,118"
4,588,571,"1,159",5,638,588,"1,226"
6,692,612,"1,304",7,760,638,"1,398"
8,678,669,"1,347",9,697,630,"1,327"
10,702,626,"1,328",11,750,702,"1,452"
12,757,755,"1,512",13,737,720,"1,457"
14,766,794,"1,560",15,778,794,"1,572"
16,761,773,"1,534",17,834,772,"1,606"
18,854,805,"1,659",19,901,911,"1,812"
20,865,881,"1,746",21,871,897,"1,768"
22,"1,032","1,055","2,087",23,"1,038","1,068","2,106"
24,"1,090","1,130","2,220",25,"1,027","1,056","2,083"
26,"1,087","1,112","2,199",27,"1,043","1,138","2,181"
28,"1,113","1,084","2,197",29,"1,006","1,095","2,101"
30,"1,022","1,061","2,083",31,"1,065","1,013","2,078"
32,953,"1,050","2,003",33,976,990,"1,966"
34,"1,043","1,107","2,150",35,"1,061","1,151","2,212"
36,"1,106","1,096","2,202",37,"1,089","1,112","2,201"
38,"1,079","1,116","2,195",39,"1,122","1,161","2,283"
40,"1,076","1,134","2,210",41,"1,058","1,134","2,192"
42,"1,053","1,147","2,200",43,"1,067","1,173","2,240"
44,978,"1,160","2,138",45,935,"1,147","2,082"
46,"1,030","1,077","2,107",47,979,"1,176","2,155"
48,"1,081","1,201","2,282",49,"1,093","1,183","2,276"
50,"1,007","1,177","2,184",51,"1,094","1,173","2,267"
52,"1,043","1,179","2,222",53,996,"1,157","2,153"
54,"1,039","1,208","2,247",55,"1,039","1,294","2,333"
56,"1,025","1,313","2,338",57,"1,020","1,280","2,300"
58,"1,025","1,166","2,191",59,"1,011","1,237","2,248"
60,"1,021","1,260","2,281",61,883,"1,113","1,996"
62,912,"1,113","2,025",63,855,"1,060","1,915"
64,767,993,"1,760",65,777,979,"1,756"
66,702,953,"1,655",67,688,931,"1,619"
68,670,890,"1,560",69,583,795,"1,378"
70,581,803,"1,384",71,495,695,"1,190"
72,413,562,975,73,365,501,866
74,340,465,805,75,316,479,795
76,292,434,726,77,273,463,736
78,254,390,644,79,221,324,545
80,256,365,621,81,210,364,574
82,187,309,496,83,193,288,481
84,141,234,375,85,129,196,325
86,91,182,273,87,107,162,269
88,82,143,225,89,66,121,187
90,55,98,153,91,36,82,118
92,25,89,114,93,32,57,89
94,13,35,48,95,16,29,45
96,10,21,31,97,17,23,40
98,8,17,25,99,10,13,23
100,4,7,11,more than 100,14,34,48
