Age,M,F,SUM,Age,M,F,SUM
less than 1,336,328,664,1,371,361,732
2,403,384,787,3,391,384,775
4,414,440,854,5,480,471,951
6,522,496,"1,018",7,517,519,"1,036"
8,543,509,"1,052",9,550,487,"1,037"
10,518,502,"1,020",11,540,551,"1,091"
12,625,609,"1,234",13,602,608,"1,210"
14,647,588,"1,235",15,616,618,"1,234"
16,703,642,"1,345",17,639,632,"1,271"
18,621,595,"1,216",19,705,703,"1,408"
20,687,733,"1,420",21,709,738,"1,447"
22,749,860,"1,609",23,853,794,"1,647"
24,906,857,"1,763",25,807,851,"1,658"
26,759,819,"1,578",27,786,813,"1,599"
28,751,760,"1,511",29,822,783,"1,605"
30,813,718,"1,531",31,754,833,"1,587"
32,720,723,"1,443",33,702,761,"1,463"
34,797,912,"1,709",35,790,860,"1,650"
36,842,885,"1,727",37,813,903,"1,716"
38,837,898,"1,735",39,869,975,"1,844"
40,857,946,"1,803",41,822,939,"1,761"
42,816,921,"1,737",43,773,"1,040","1,813"
44,836,919,"1,755",45,766,966,"1,732"
46,750,921,"1,671",47,788,"1,020","1,808"
48,823,983,"1,806",49,783,954,"1,737"
50,782,970,"1,752",51,860,"1,024","1,884"
52,760,"1,009","1,769",53,809,979,"1,788"
54,802,"1,075","1,877",55,819,997,"1,816"
56,822,"1,018","1,840",57,808,"1,026","1,834"
58,780,"1,016","1,796",59,720,"1,048","1,768"
60,789,"1,013","1,802",61,722,912,"1,634"
62,651,941,"1,592",63,621,924,"1,545"
64,603,864,"1,467",65,640,860,"1,500"
66,596,815,"1,411",67,544,718,"1,262"
68,538,758,"1,296",69,497,722,"1,219"
70,439,687,"1,126",71,399,617,"1,016"
72,379,534,913,73,304,488,792
74,321,471,792,75,296,419,715
76,265,433,698,77,235,360,595
78,222,380,602,79,205,323,528
80,178,337,515,81,163,296,459
82,178,288,466,83,149,270,419
84,130,229,359,85,105,220,325
86,88,178,266,87,87,179,266
88,69,132,201,89,42,120,162
90,34,79,113,91,45,83,128
92,21,46,67,93,21,46,67
94,18,36,54,95,20,29,49
96,12,14,26,97,11,11,22
98,11,11,22,99,9,6,15
100,10,5,15,more than 100,18,18,36
