Age,M,F,SUM,Age,M,F,SUM
less than 1,602,576,"1,178",1,689,637,"1,326"
2,687,628,"1,315",3,688,656,"1,344"
4,711,702,"1,413",5,805,738,"1,543"
6,850,751,"1,601",7,907,888,"1,795"
8,879,832,"1,711",9,881,798,"1,679"
10,862,826,"1,688",11,897,836,"1,733"
12,916,838,"1,754",13,916,903,"1,819"
14,842,845,"1,687",15,894,915,"1,809"
16,924,915,"1,839",17,927,854,"1,781"
18,949,925,"1,874",19,"1,379",959,"2,338"
20,"1,241",943,"2,184",21,"2,494","1,002","3,496"
22,"2,862","1,172","4,034",23,"1,816","1,186","3,002"
24,"1,561","1,202","2,763",25,"1,412","1,114","2,526"
26,"1,371","1,107","2,478",27,"1,370","1,137","2,507"
28,"1,363","1,206","2,569",29,"1,312","1,138","2,450"
30,"1,280","1,147","2,427",31,"1,161","1,156","2,317"
32,"1,218","1,144","2,362",33,"1,268","1,184","2,452"
34,"1,265","1,293","2,558",35,"1,287","1,243","2,530"
36,"1,330","1,386","2,716",37,"1,356","1,393","2,749"
38,"1,361","1,440","2,801",39,"1,360","1,459","2,819"
40,"1,299","1,488","2,787",41,"1,190","1,329","2,519"
42,"1,229","1,494","2,723",43,"1,283","1,425","2,708"
44,"1,272","1,416","2,688",45,"1,207","1,365","2,572"
46,"1,142","1,371","2,513",47,"1,149","1,481","2,630"
48,"1,263","1,480","2,743",49,"1,247","1,510","2,757"
50,"1,248","1,474","2,722",51,"1,300","1,544","2,844"
52,"1,304","1,421","2,725",53,"1,182","1,411","2,593"
54,"1,161","1,466","2,627",55,"1,272","1,469","2,741"
56,"1,164","1,451","2,615",57,"1,156","1,400","2,556"
58,"1,114","1,280","2,394",59,"1,071","1,345","2,416"
60,895,"1,280","2,175",61,878,"1,125","2,003"
62,806,977,"1,783",63,754,"1,029","1,783"
64,739,940,"1,679",65,677,873,"1,550"
66,616,854,"1,470",67,582,826,"1,408"
68,562,780,"1,342",69,520,700,"1,220"
70,426,649,"1,075",71,424,595,"1,019"
72,363,447,810,73,354,464,818
74,298,409,707,75,306,379,685
76,268,328,596,77,243,303,546
78,216,318,534,79,170,254,424
80,210,269,479,81,145,276,421
82,164,216,380,83,130,231,361
84,109,194,303,85,104,161,265
86,76,119,195,87,95,107,202
88,60,98,158,89,56,71,127
90,47,74,121,91,35,63,98
92,27,36,63,93,10,37,47
94,17,32,49,95,12,20,32
96,10,13,23,97,6,9,15
98,9,10,19,99,8,4,12
100,7,8,15,more than 100,7,15,22
