Age,M,F,SUM,Age,M,F,SUM
less than 1,215,195,410,1,217,225,442
2,271,224,495,3,267,232,499
4,290,274,564,5,281,283,564
6,320,321,641,7,356,304,660
8,323,269,592,9,303,263,566
10,319,288,607,11,332,327,659
12,318,319,637,13,332,307,639
14,375,315,690,15,341,373,714
16,371,365,736,17,381,370,751
18,416,426,842,19,427,610,"1,037"
20,407,600,"1,007",21,"2,305",595,"2,900"
22,"3,073",626,"3,699",23,996,512,"1,508"
24,749,518,"1,267",25,649,449,"1,098"
26,578,483,"1,061",27,549,474,"1,023"
28,532,435,967,29,516,456,972
30,523,450,973,31,491,408,899
32,464,393,857,33,510,460,970
34,557,435,992,35,561,454,"1,015"
36,537,465,"1,002",37,529,467,996
38,594,461,"1,055",39,552,499,"1,051"
40,560,476,"1,036",41,542,480,"1,022"
42,551,494,"1,045",43,529,527,"1,056"
44,509,505,"1,014",45,608,510,"1,118"
46,518,504,"1,022",47,511,523,"1,034"
48,512,524,"1,036",49,546,498,"1,044"
50,539,558,"1,097",51,595,551,"1,146"
52,574,601,"1,175",53,563,613,"1,176"
54,589,634,"1,223",55,695,674,"1,369"
56,627,688,"1,315",57,624,681,"1,305"
58,683,650,"1,333",59,671,703,"1,374"
60,645,612,"1,257",61,551,594,"1,145"
62,478,523,"1,001",63,497,595,"1,092"
64,459,594,"1,053",65,440,596,"1,036"
66,429,494,923,67,446,541,987
68,398,461,859,69,375,491,866
70,305,435,740,71,339,423,762
72,308,382,690,73,259,343,602
74,248,354,602,75,243,307,550
76,238,315,553,77,205,329,534
78,226,305,531,79,214,261,475
80,214,242,456,81,222,282,504
82,252,227,479,83,203,249,452
84,162,244,406,85,187,197,384
86,150,181,331,87,149,189,338
88,127,175,302,89,113,138,251
90,86,104,190,91,88,97,185
92,66,85,151,93,82,72,154
94,54,57,111,95,55,58,113
96,48,65,113,97,45,45,90
98,46,41,87,99,40,32,72
100,33,22,55,more than 100,96,89,185
