Age,M,F,SUM,Age,M,F,SUM
less than 1,305,290,595,1,300,301,601
2,353,323,676,3,350,335,685
4,334,320,654,5,357,358,715
6,368,347,715,7,390,363,753
8,326,376,702,9,332,339,671
10,346,338,684,11,330,332,662
12,367,344,711,13,379,350,729
14,386,382,768,15,397,363,760
16,360,387,747,17,360,379,739
18,341,358,699,19,414,424,838
20,352,393,745,21,378,407,785
22,408,489,897,23,447,497,944
24,472,517,989,25,481,514,995
26,558,571,"1,129",27,532,610,"1,142"
28,588,656,"1,244",29,622,676,"1,298"
30,587,791,"1,378",31,626,805,"1,431"
32,607,750,"1,357",33,720,875,"1,595"
34,728,877,"1,605",35,715,890,"1,605"
36,756,986,"1,742",37,752,"1,056","1,808"
38,796,"1,074","1,870",39,751,994,"1,745"
40,772,955,"1,727",41,712,931,"1,643"
42,627,899,"1,526",43,609,807,"1,416"
44,594,793,"1,387",45,576,786,"1,362"
46,588,677,"1,265",47,537,755,"1,292"
48,562,711,"1,273",49,546,706,"1,252"
50,506,629,"1,135",51,504,666,"1,170"
52,450,654,"1,104",53,485,600,"1,085"
54,447,604,"1,051",55,462,652,"1,114"
56,466,587,"1,053",57,464,551,"1,015"
58,411,619,"1,030",59,419,571,990
60,409,549,958,61,366,540,906
62,376,540,916,63,365,503,868
64,330,509,839,65,339,519,858
66,338,449,787,67,323,505,828
68,294,461,755,69,280,428,708
70,290,437,727,71,239,346,585
72,238,349,587,73,212,252,464
74,185,234,419,75,162,256,418
76,158,257,415,77,158,236,394
78,145,232,377,79,115,157,272
80,123,181,304,81,100,157,257
82,98,156,254,83,97,164,261
84,70,118,188,85,69,114,183
86,49,87,136,87,55,100,155
88,34,74,108,89,49,65,114
90,34,59,93,91,26,33,59
92,20,46,66,93,13,35,48
94,12,22,34,95,9,19,28
96,8,13,21,97,3,10,13
98,3,9,12,99,8,9,17
100,2,7,9,more than 100,13,20,33
