Age,M,F,SUM,Age,M,F,SUM
less than 1,313,319,632,1,372,327,699
2,383,360,743,3,401,348,749
4,382,372,754,5,441,412,853
6,451,397,848,7,458,501,959
8,480,453,933,9,473,475,948
10,494,452,946,11,465,500,965
12,497,506,"1,003",13,515,505,"1,020"
14,570,502,"1,072",15,508,501,"1,009"
16,483,509,992,17,506,543,"1,049"
18,561,559,"1,120",19,572,543,"1,115"
20,514,524,"1,038",21,522,557,"1,079"
22,604,627,"1,231",23,642,619,"1,261"
24,628,666,"1,294",25,622,621,"1,243"
26,570,654,"1,224",27,575,626,"1,201"
28,553,627,"1,180",29,581,608,"1,189"
30,510,570,"1,080",31,568,594,"1,162"
32,558,587,"1,145",33,568,610,"1,178"
34,548,635,"1,183",35,610,692,"1,302"
36,559,757,"1,316",37,615,747,"1,362"
38,653,763,"1,416",39,672,825,"1,497"
40,699,793,"1,492",41,651,764,"1,415"
42,657,785,"1,442",43,646,776,"1,422"
44,647,762,"1,409",45,643,776,"1,419"
46,628,717,"1,345",47,647,866,"1,513"
48,673,885,"1,558",49,631,815,"1,446"
50,684,814,"1,498",51,676,850,"1,526"
52,671,794,"1,465",53,588,812,"1,400"
54,628,767,"1,395",55,626,820,"1,446"
56,573,794,"1,367",57,622,759,"1,381"
58,566,697,"1,263",59,544,784,"1,328"
60,504,661,"1,165",61,450,623,"1,073"
62,447,557,"1,004",63,449,565,"1,014"
64,380,546,926,65,415,513,928
66,356,501,857,67,357,455,812
68,360,445,805,69,295,406,701
70,251,412,663,71,249,356,605
72,203,270,473,73,189,258,447
74,200,234,434,75,158,245,403
76,149,227,376,77,135,202,337
78,119,184,303,79,120,168,288
80,124,184,308,81,92,169,261
82,78,141,219,83,77,162,239
84,56,118,174,85,62,108,170
86,53,99,152,87,44,71,115
88,29,63,92,89,33,57,90
90,21,50,71,91,18,40,58
92,13,30,43,93,15,22,37
94,8,10,18,95,3,6,9
96,5,9,14,97,3,10,13
98,2,2,4,99,0,3,3
100,2,1,3,more than 100,2,9,11
