Age,M,F,SUM,Age,M,F,SUM
less than 1,914,868,"1,782",1,"1,071",990,"2,061"
2,"1,060","1,019","2,079",3,"1,110","1,105","2,215"
4,"1,214","1,115","2,329",5,"1,206","1,169","2,375"
6,"1,186","1,165","2,351",7,"1,337","1,290","2,627"
8,"1,328","1,244","2,572",9,"1,199","1,195","2,394"
10,"1,267","1,264","2,531",11,"1,252","1,250","2,502"
12,"1,357","1,255","2,612",13,"1,407","1,289","2,696"
14,"1,352","1,249","2,601",15,"1,414","1,316","2,730"
16,"1,435","1,300","2,735",17,"1,292","1,350","2,642"
18,"1,258","1,260","2,518",19,"1,383","1,398","2,781"
20,"1,349","1,222","2,571",21,"1,321","1,366","2,687"
22,"1,393","1,474","2,867",23,"1,488","1,546","3,034"
24,"1,452","1,571","3,023",25,"1,335","1,459","2,794"
26,"1,324","1,454","2,778",27,"1,353","1,480","2,833"
28,"1,263","1,488","2,751",29,"1,287","1,444","2,731"
30,"1,134","1,425","2,559",31,"1,190","1,379","2,569"
32,"1,211","1,353","2,564",33,"1,279","1,574","2,853"
34,"1,367","1,622","2,989",35,"1,329","1,667","2,996"
36,"1,488","1,716","3,204",37,"1,556","1,875","3,431"
38,"1,646","1,983","3,629",39,"1,615","1,999","3,614"
40,"1,701","2,013","3,714",41,"1,612","2,001","3,613"
42,"1,682","1,939","3,621",43,"1,620","2,035","3,655"
44,"1,648","1,926","3,574",45,"1,660","1,962","3,622"
46,"1,595","1,854","3,449",47,"1,724","1,987","3,711"
48,"1,731","2,124","3,855",49,"1,817","2,076","3,893"
50,"1,808","1,985","3,793",51,"1,845","2,042","3,887"
52,"1,721","1,933","3,654",53,"1,608","1,881","3,489"
54,"1,577","1,890","3,467",55,"1,494","1,719","3,213"
56,"1,430","1,508","2,938",57,"1,250","1,510","2,760"
58,"1,200","1,343","2,543",59,"1,155","1,368","2,523"
60,"1,010","1,250","2,260",61,900,"1,016","1,916"
62,858,958,"1,816",63,783,915,"1,698"
64,683,845,"1,528",65,639,762,"1,401"
66,579,713,"1,292",67,502,664,"1,166"
68,449,606,"1,055",69,440,580,"1,020"
70,392,527,919,71,330,491,821
72,308,443,751,73,256,381,637
74,225,343,568,75,231,323,554
76,214,275,489,77,199,292,491
78,188,281,469,79,146,223,369
80,154,237,391,81,109,210,319
82,96,181,277,83,89,185,274
84,73,143,216,85,67,115,182
86,57,109,166,87,53,104,157
88,37,85,122,89,30,63,93
90,26,42,68,91,16,43,59
92,9,37,46,93,13,20,33
94,13,16,29,95,5,18,23
96,2,9,11,97,1,13,14
98,1,4,5,99,1,2,3
100,2,0,2,more than 100,4,7,11
