Age,M,F,SUM,Age,M,F,SUM
less than 1,175,152,327,1,199,163,362
2,210,197,407,3,226,185,411
4,204,224,428,5,231,212,443
6,277,249,526,7,280,265,545
8,231,257,488,9,262,264,526
10,249,279,528,11,286,336,622
12,313,310,623,13,271,315,586
14,287,308,595,15,318,316,634
16,308,297,605,17,293,309,602
18,310,324,634,19,395,384,779
20,319,386,705,21,386,380,766
22,398,463,861,23,402,475,877
24,468,477,945,25,433,491,924
26,413,458,871,27,451,463,914
28,444,451,895,29,476,440,916
30,420,436,856,31,424,510,934
32,413,458,871,33,447,428,875
34,419,471,890,35,466,448,914
36,505,467,972,37,436,508,944
38,455,531,986,39,492,547,"1,039"
40,500,547,"1,047",41,451,540,991
42,473,513,986,43,505,535,"1,040"
44,440,480,920,45,445,477,922
46,478,501,979,47,431,526,957
48,454,545,999,49,436,521,957
50,437,540,977,51,421,563,984
52,433,528,961,53,411,540,951
54,469,571,"1,040",55,475,582,"1,057"
56,428,579,"1,007",57,411,576,987
58,437,559,996,59,473,572,"1,045"
60,414,609,"1,023",61,431,592,"1,023"
62,447,534,981,63,415,538,953
64,378,500,878,65,403,540,943
66,373,501,874,67,371,488,859
68,327,474,801,69,316,424,740
70,324,454,778,71,265,403,668
72,252,342,594,73,190,313,503
74,177,277,454,75,155,259,414
76,170,215,385,77,149,217,366
78,131,217,348,79,122,197,319
80,112,214,326,81,112,189,301
82,100,175,275,83,90,177,267
84,85,148,233,85,68,142,210
86,68,116,184,87,59,99,158
88,42,92,134,89,47,65,112
90,35,77,112,91,19,37,56
92,23,30,53,93,12,30,42
94,11,16,27,95,9,15,24
96,11,13,24,97,6,10,16
98,7,8,15,99,4,3,7
100,5,4,9,more than 100,10,11,21
