Age,M,F,SUM,Age,M,F,SUM
less than 1,322,285,607,1,390,310,700
2,376,360,736,3,409,362,771
4,394,394,788,5,433,383,816
6,431,385,816,7,505,459,964
8,428,443,871,9,446,455,901
10,467,455,922,11,453,440,893
12,460,496,956,13,451,451,902
14,489,461,950,15,467,502,969
16,526,500,"1,026",17,505,456,961
18,527,534,"1,061",19,532,572,"1,104"
20,536,482,"1,018",21,513,531,"1,044"
22,587,589,"1,176",23,651,682,"1,333"
24,665,644,"1,309",25,605,692,"1,297"
26,668,686,"1,354",27,665,657,"1,322"
28,633,666,"1,299",29,656,715,"1,371"
30,672,679,"1,351",31,685,690,"1,375"
32,616,678,"1,294",33,690,740,"1,430"
34,723,766,"1,489",35,768,730,"1,498"
36,683,812,"1,495",37,745,822,"1,567"
38,794,865,"1,659",39,791,850,"1,641"
40,780,795,"1,575",41,761,817,"1,578"
42,662,847,"1,509",43,743,779,"1,522"
44,662,768,"1,430",45,638,741,"1,379"
46,627,749,"1,376",47,638,793,"1,431"
48,612,855,"1,467",49,657,717,"1,374"
50,637,752,"1,389",51,677,765,"1,442"
52,656,773,"1,429",53,644,748,"1,392"
54,670,791,"1,461",55,677,770,"1,447"
56,640,806,"1,446",57,627,782,"1,409"
58,593,754,"1,347",59,607,737,"1,344"
60,594,695,"1,289",61,551,627,"1,178"
62,488,636,"1,124",63,473,581,"1,054"
64,435,594,"1,029",65,457,541,998
66,419,521,940,67,393,503,896
68,368,514,882,69,336,461,797
70,364,464,828,71,302,433,735
72,253,370,623,73,238,317,555
74,215,268,483,75,183,270,453
76,156,304,460,77,138,243,381
78,139,192,331,79,131,197,328
80,121,201,322,81,129,209,338
82,117,177,294,83,104,159,263
84,77,161,238,85,83,156,239
86,61,127,188,87,63,127,190
88,47,98,145,89,33,69,102
90,35,68,103,91,37,53,90
92,19,46,65,93,13,34,47
94,19,22,41,95,11,23,34
96,8,20,28,97,3,9,12
98,7,16,23,99,10,7,17
100,10,6,16,more than 100,11,20,31
