Age,M,F,SUM,Age,M,F,SUM
less than 1,329,345,674,1,344,347,691
2,379,333,712,3,358,349,707
4,369,383,752,5,418,396,814
6,425,405,830,7,469,448,917
8,472,389,861,9,413,418,831
10,431,405,836,11,452,442,894
12,461,486,947,13,484,503,987
14,504,494,998,15,465,530,995
16,521,521,"1,042",17,518,507,"1,025"
18,526,514,"1,040",19,567,543,"1,110"
20,549,558,"1,107",21,"1,207",575,"1,782"
22,"1,349",687,"2,036",23,903,706,"1,609"
24,779,711,"1,490",25,757,678,"1,435"
26,706,683,"1,389",27,753,703,"1,456"
28,706,698,"1,404",29,736,739,"1,475"
30,667,662,"1,329",31,676,713,"1,389"
32,631,675,"1,306",33,686,742,"1,428"
34,724,726,"1,450",35,696,713,"1,409"
36,689,785,"1,474",37,742,822,"1,564"
38,756,819,"1,575",39,761,863,"1,624"
40,766,857,"1,623",41,734,862,"1,596"
42,755,856,"1,611",43,801,901,"1,702"
44,779,916,"1,695",45,775,862,"1,637"
46,777,838,"1,615",47,718,849,"1,567"
48,750,876,"1,626",49,764,910,"1,674"
50,737,885,"1,622",51,712,910,"1,622"
52,666,881,"1,547",53,663,843,"1,506"
54,646,863,"1,509",55,722,886,"1,608"
56,716,928,"1,644",57,710,904,"1,614"
58,680,869,"1,549",59,683,874,"1,557"
60,643,843,"1,486",61,622,827,"1,449"
62,522,750,"1,272",63,544,788,"1,332"
64,499,733,"1,232",65,486,729,"1,215"
66,508,682,"1,190",67,428,643,"1,071"
68,470,654,"1,124",69,450,591,"1,041"
70,386,629,"1,015",71,365,502,867
72,312,466,778,73,298,466,764
74,299,368,667,75,256,362,618
76,275,359,634,77,230,319,549
78,239,314,553,79,188,261,449
80,190,288,478,81,171,255,426
82,148,217,365,83,116,203,319
84,119,153,272,85,98,130,228
86,84,102,186,87,82,129,211
88,39,93,132,89,41,76,117
90,29,80,109,91,28,53,81
92,23,47,70,93,21,37,58
94,16,32,48,95,17,12,29
96,9,22,31,97,5,15,20
98,4,13,17,99,5,10,15
100,2,6,8,more than 100,8,11,19
