Age,M,F,SUM,Age,M,F,SUM
less than 1,796,780,"1,576",1,855,847,"1,702"
2,960,910,"1,870",3,969,880,"1,849"
4,"1,040",914,"1,954",5,"1,114",959,"2,073"
6,"1,075",988,"2,063",7,"1,190","1,076","2,266"
8,"1,030","1,067","2,097",9,"1,078","1,047","2,125"
10,"1,048","1,058","2,106",11,"1,096","1,053","2,149"
12,"1,157","1,091","2,248",13,"1,151","1,083","2,234"
14,"1,194","1,109","2,303",15,"1,211","1,173","2,384"
16,"1,227","1,146","2,373",17,"1,150","1,157","2,307"
18,"1,110","1,079","2,189",19,"1,186","1,150","2,336"
20,"1,110","1,110","2,220",21,"1,123","1,151","2,274"
22,"1,179","1,348","2,527",23,"1,336","1,419","2,755"
24,"1,332","1,418","2,750",25,"1,261","1,308","2,569"
26,"1,214","1,336","2,550",27,"1,269","1,325","2,594"
28,"1,188","1,344","2,532",29,"1,260","1,314","2,574"
30,"1,153","1,268","2,421",31,"1,132","1,273","2,405"
32,"1,064","1,253","2,317",33,"1,202","1,383","2,585"
34,"1,255","1,466","2,721",35,"1,274","1,471","2,745"
36,"1,400","1,520","2,920",37,"1,481","1,624","3,105"
38,"1,518","1,701","3,219",39,"1,482","1,690","3,172"
40,"1,513","1,736","3,249",41,"1,364","1,664","3,028"
42,"1,525","1,696","3,221",43,"1,442","1,667","3,109"
44,"1,445","1,577","3,022",45,"1,380","1,522","2,902"
46,"1,359","1,560","2,919",47,"1,403","1,624","3,027"
48,"1,476","1,701","3,177",49,"1,411","1,633","3,044"
50,"1,454","1,634","3,088",51,"1,341","1,604","2,945"
52,"1,353","1,570","2,923",53,"1,263","1,550","2,813"
54,"1,362","1,571","2,933",55,"1,346","1,458","2,804"
56,"1,162","1,395","2,557",57,"1,127","1,346","2,473"
58,"1,022","1,227","2,249",59,"1,044","1,288","2,332"
60,932,"1,102","2,034",61,794,985,"1,779"
62,804,939,"1,743",63,766,814,"1,580"
64,653,751,"1,404",65,664,809,"1,473"
66,585,740,"1,325",67,528,660,"1,188"
68,455,639,"1,094",69,447,578,"1,025"
70,378,563,941,71,328,420,748
72,309,392,701,73,264,333,597
74,221,305,526,75,247,308,555
76,206,299,505,77,153,248,401
78,187,313,500,79,128,239,367
80,163,248,411,81,159,206,365
82,102,204,306,83,105,180,285
84,79,156,235,85,85,126,211
86,71,125,196,87,48,99,147
88,51,64,115,89,35,65,100
90,30,52,82,91,22,45,67
92,17,43,60,93,14,23,37
94,11,26,37,95,6,14,20
96,10,15,25,97,3,7,10
98,8,3,11,99,4,1,5
100,2,7,9,more than 100,8,13,21
