Age,M,F,SUM,Age,M,F,SUM
less than 1,346,318,664,1,404,389,793
2,422,414,836,3,455,453,908
4,474,482,956,5,593,517,"1,110"
6,568,524,"1,092",7,572,610,"1,182"
8,537,558,"1,095",9,606,559,"1,165"
10,554,614,"1,168",11,628,643,"1,271"
12,640,626,"1,266",13,636,602,"1,238"
14,641,648,"1,289",15,652,636,"1,288"
16,647,682,"1,329",17,622,626,"1,248"
18,593,579,"1,172",19,696,653,"1,349"
20,597,635,"1,232",21,593,622,"1,215"
22,680,743,"1,423",23,732,801,"1,533"
24,761,796,"1,557",25,704,757,"1,461"
26,700,761,"1,461",27,719,719,"1,438"
28,743,788,"1,531",29,696,753,"1,449"
30,630,684,"1,314",31,697,755,"1,452"
32,705,782,"1,487",33,717,806,"1,523"
34,778,883,"1,661",35,792,965,"1,757"
36,835,"1,053","1,888",37,910,"1,135","2,045"
38,949,"1,161","2,110",39,999,"1,146","2,145"
40,"1,014","1,160","2,174",41,952,"1,188","2,140"
42,965,"1,108","2,073",43,957,"1,172","2,129"
44,879,"1,040","1,919",45,862,"1,052","1,914"
46,851,"1,067","1,918",47,882,"1,061","1,943"
48,896,"1,054","1,950",49,837,"1,081","1,918"
50,832,"1,063","1,895",51,827,"1,023","1,850"
52,762,976,"1,738",53,732,966,"1,698"
54,761,971,"1,732",55,718,987,"1,705"
56,746,943,"1,689",57,677,984,"1,661"
58,709,960,"1,669",59,729,973,"1,702"
60,668,920,"1,588",61,624,850,"1,474"
62,599,923,"1,522",63,613,862,"1,475"
64,612,824,"1,436",65,569,838,"1,407"
66,556,778,"1,334",67,512,789,"1,301"
68,512,747,"1,259",69,518,765,"1,283"
70,495,712,"1,207",71,406,617,"1,023"
72,357,590,947,73,371,530,901
74,294,497,791,75,292,439,731
76,272,383,655,77,245,335,580
78,233,349,582,79,202,254,456
80,207,284,491,81,174,253,427
82,137,240,377,83,140,196,336
84,116,174,290,85,76,171,247
86,76,128,204,87,71,114,185
88,49,102,151,89,40,105,145
90,28,86,114,91,30,69,99
92,26,59,85,93,18,44,62
94,11,38,49,95,3,24,27
96,7,23,30,97,2,17,19
98,1,12,13,99,1,8,9
100,4,3,7,more than 100,5,11,16
