Age,M,F,SUM,Age,M,F,SUM
less than 1,590,542,"1,132",1,650,625,"1,275"
2,719,693,"1,412",3,747,671,"1,418"
4,813,737,"1,550",5,830,808,"1,638"
6,888,779,"1,667",7,936,908,"1,844"
8,925,857,"1,782",9,892,834,"1,726"
10,953,932,"1,885",11,927,910,"1,837"
12,917,958,"1,875",13,955,911,"1,866"
14,"1,017",936,"1,953",15,987,919,"1,906"
16,964,944,"1,908",17,973,994,"1,967"
18,900,910,"1,810",19,982,961,"1,943"
20,913,919,"1,832",21,923,988,"1,911"
22,"1,007","1,094","2,101",23,"1,055","1,087","2,142"
24,"1,081","1,152","2,233",25,978,"1,029","2,007"
26,992,"1,042","2,034",27,948,"1,086","2,034"
28,951,968,"1,919",29,897,961,"1,858"
30,872,896,"1,768",31,827,929,"1,756"
32,777,888,"1,665",33,856,947,"1,803"
34,887,"1,022","1,909",35,888,966,"1,854"
36,971,"1,102","2,073",37,"1,015","1,105","2,120"
38,"1,030","1,210","2,240",39,"1,033","1,307","2,340"
40,"1,090","1,249","2,339",41,"1,068","1,246","2,314"
42,"1,066","1,273","2,339",43,"1,132","1,268","2,400"
44,"1,099","1,305","2,404",45,"1,004","1,286","2,290"
46,"1,073","1,263","2,336",47,"1,111","1,323","2,434"
48,"1,146","1,386","2,532",49,"1,097","1,396","2,493"
50,"1,105","1,361","2,466",51,"1,152","1,409","2,561"
52,"1,097","1,320","2,417",53,"1,063","1,272","2,335"
54,"1,094","1,278","2,372",55,"1,016","1,259","2,275"
56,"1,025","1,177","2,202",57,919,"1,122","2,041"
58,849,"1,054","1,903",59,855,"1,031","1,886"
60,752,977,"1,729",61,695,853,"1,548"
62,657,813,"1,470",63,611,746,"1,357"
64,558,673,"1,231",65,563,689,"1,252"
66,472,618,"1,090",67,491,585,"1,076"
68,435,553,988,69,376,518,894
70,364,447,811,71,306,414,720
72,265,355,620,73,200,272,472
74,189,287,476,75,197,287,484
76,177,289,466,77,137,238,375
78,175,243,418,79,130,194,324
80,117,199,316,81,120,183,303
82,109,174,283,83,79,146,225
84,79,116,195,85,65,111,176
86,38,100,138,87,37,70,107
88,37,73,110,89,26,63,89
90,24,48,72,91,21,32,53
92,15,30,45,93,13,15,28
94,6,17,23,95,8,12,20
96,7,11,18,97,6,6,12
98,0,7,7,99,5,9,14
100,5,2,7,more than 100,5,7,12
