Age,M,F,SUM,Age,M,F,SUM
less than 1,855,901,"1,756",1,"1,034",906,"1,940"
2,"1,030",987,"2,017",3,"1,060",937,"1,997"
4,"1,093","1,031","2,124",5,"1,119","1,043","2,162"
6,"1,191","1,083","2,274",7,"1,230","1,128","2,358"
8,"1,220","1,133","2,353",9,"1,183","1,119","2,302"
10,"1,267","1,115","2,382",11,"1,226","1,233","2,459"
12,"1,362","1,252","2,614",13,"1,304","1,239","2,543"
14,"1,278","1,299","2,577",15,"1,274","1,264","2,538"
16,"1,287","1,260","2,547",17,"1,316","1,246","2,562"
18,"1,226","1,253","2,479",19,"1,300","1,244","2,544"
20,"1,286","1,204","2,490",21,"1,229","1,295","2,524"
22,"1,315","1,432","2,747",23,"1,394","1,366","2,760"
24,"1,403","1,465","2,868",25,"1,272","1,334","2,606"
26,"1,312","1,317","2,629",27,"1,252","1,334","2,586"
28,"1,222","1,304","2,526",29,"1,161","1,329","2,490"
30,"1,129","1,208","2,337",31,"1,087","1,104","2,191"
32,"1,071","1,132","2,203",33,"1,147","1,190","2,337"
34,"1,161","1,244","2,405",35,"1,181","1,223","2,404"
36,"1,280","1,402","2,682",37,"1,282","1,432","2,714"
38,"1,367","1,433","2,800",39,"1,398","1,548","2,946"
40,"1,388","1,572","2,960",41,"1,393","1,497","2,890"
42,"1,372","1,660","3,032",43,"1,409","1,655","3,064"
44,"1,476","1,602","3,078",45,"1,458","1,630","3,088"
46,"1,449","1,575","3,024",47,"1,448","1,570","3,018"
48,"1,593","1,762","3,355",49,"1,466","1,564","3,030"
50,"1,518","1,646","3,164",51,"1,556","1,604","3,160"
52,"1,439","1,535","2,974",53,"1,365","1,469","2,834"
54,"1,326","1,445","2,771",55,"1,252","1,309","2,561"
56,"1,161","1,189","2,350",57,"1,028","1,080","2,108"
58,959,"1,053","2,012",59,983,"1,035","2,018"
60,838,918,"1,756",61,710,813,"1,523"
62,686,806,"1,492",63,608,688,"1,296"
64,553,671,"1,224",65,569,657,"1,226"
66,487,598,"1,085",67,468,605,"1,073"
68,449,552,"1,001",69,370,463,833
70,379,433,812,71,366,441,807
72,283,347,630,73,243,300,543
74,234,289,523,75,185,280,465
76,210,263,473,77,161,207,368
78,190,281,471,79,155,212,367
80,131,246,377,81,140,190,330
82,128,194,322,83,104,163,267
84,80,120,200,85,71,108,179
86,67,123,190,87,61,90,151
88,55,61,116,89,49,66,115
90,25,56,81,91,28,39,67
92,14,35,49,93,17,28,45
94,18,21,39,95,8,18,26
96,7,13,20,97,4,8,12
98,6,7,13,99,4,5,9
100,3,5,8,more than 100,8,13,21
