Age,M,F,SUM,Age,M,F,SUM
less than 1,570,522,"1,092",1,663,601,"1,264"
2,678,675,"1,353",3,688,676,"1,364"
4,751,712,"1,463",5,780,744,"1,524"
6,874,807,"1,681",7,918,854,"1,772"
8,879,828,"1,707",9,890,826,"1,716"
10,911,842,"1,753",11,941,859,"1,800"
12,975,931,"1,906",13,912,902,"1,814"
14,933,948,"1,881",15,985,954,"1,939"
16,"1,005",945,"1,950",17,938,950,"1,888"
18,904,943,"1,847",19,"1,003",995,"1,998"
20,948,940,"1,888",21,987,"1,001","1,988"
22,"1,107","1,214","2,321",23,"1,135","1,228","2,363"
24,"1,181","1,320","2,501",25,"1,121","1,194","2,315"
26,"1,148","1,069","2,217",27,"1,035","1,099","2,134"
28,"1,126","1,161","2,287",29,"1,016","1,093","2,109"
30,982,"1,056","2,038",31,"1,024","1,012","2,036"
32,900,"1,012","1,912",33,953,"1,046","1,999"
34,"1,012","1,120","2,132",35,"1,070","1,152","2,222"
36,"1,037","1,312","2,349",37,"1,097","1,331","2,428"
38,"1,124","1,318","2,442",39,"1,226","1,379","2,605"
40,"1,238","1,414","2,652",41,"1,172","1,395","2,567"
42,"1,251","1,409","2,660",43,"1,202","1,435","2,637"
44,"1,171","1,454","2,625",45,"1,185","1,431","2,616"
46,"1,056","1,420","2,476",47,"1,214","1,479","2,693"
48,"1,232","1,462","2,694",49,"1,182","1,425","2,607"
50,"1,073","1,375","2,448",51,"1,187","1,515","2,702"
52,"1,136","1,423","2,559",53,"1,114","1,286","2,400"
54,"1,141","1,437","2,578",55,"1,157","1,466","2,623"
56,"1,086","1,297","2,383",57,"1,005","1,288","2,293"
58,991,"1,289","2,280",59,960,"1,262","2,222"
60,935,"1,223","2,158",61,832,"1,069","1,901"
62,743,"1,034","1,777",63,740,990,"1,730"
64,681,855,"1,536",65,674,849,"1,523"
66,635,760,"1,395",67,526,788,"1,314"
68,528,703,"1,231",69,512,656,"1,168"
70,438,626,"1,064",71,358,554,912
72,348,469,817,73,289,396,685
74,269,414,683,75,268,357,625
76,234,347,581,77,184,312,496
78,203,312,515,79,156,301,457
80,168,285,453,81,154,250,404
82,145,195,340,83,138,188,326
84,94,168,262,85,78,163,241
86,52,122,174,87,62,115,177
88,37,110,147,89,33,59,92
90,26,51,77,91,18,48,66
92,11,38,49,93,15,27,42
94,8,17,25,95,7,12,19
96,5,12,17,97,5,4,9
98,2,8,10,99,0,4,4
100,1,3,4,more than 100,2,4,6
