Age,M,F,SUM,Age,M,F,SUM
less than 1,380,380,760,1,463,417,880
2,472,419,891,3,543,451,994
4,537,503,"1,040",5,573,533,"1,106"
6,559,531,"1,090",7,608,605,"1,213"
8,590,582,"1,172",9,605,535,"1,140"
10,567,563,"1,130",11,581,574,"1,155"
12,663,623,"1,286",13,673,577,"1,250"
14,620,601,"1,221",15,683,670,"1,353"
16,641,624,"1,265",17,643,686,"1,329"
18,645,616,"1,261",19,725,692,"1,417"
20,689,640,"1,329",21,718,738,"1,456"
22,794,846,"1,640",23,886,910,"1,796"
24,902,946,"1,848",25,867,916,"1,783"
26,919,879,"1,798",27,880,872,"1,752"
28,913,915,"1,828",29,886,882,"1,768"
30,843,889,"1,732",31,833,943,"1,776"
32,820,800,"1,620",33,790,906,"1,696"
34,849,972,"1,821",35,879,976,"1,855"
36,908,934,"1,842",37,892,980,"1,872"
38,934,"1,056","1,990",39,"1,027","1,114","2,141"
40,983,"1,075","2,058",41,959,"1,103","2,062"
42,919,"1,075","1,994",43,903,"1,064","1,967"
44,893,"1,087","1,980",45,936,"1,009","1,945"
46,837,958,"1,795",47,854,"1,029","1,883"
48,913,"1,039","1,952",49,883,"1,055","1,938"
50,815,996,"1,811",51,833,"1,069","1,902"
52,845,"1,037","1,882",53,905,"1,059","1,964"
54,874,"1,135","2,009",55,859,"1,072","1,931"
56,868,"1,095","1,963",57,833,"1,039","1,872"
58,822,"1,021","1,843",59,804,"1,077","1,881"
60,757,992,"1,749",61,740,988,"1,728"
62,702,957,"1,659",63,684,913,"1,597"
64,608,829,"1,437",65,636,828,"1,464"
66,598,851,"1,449",67,555,775,"1,330"
68,570,705,"1,275",69,495,687,"1,182"
70,456,677,"1,133",71,387,545,932
72,343,487,830,73,312,443,755
74,276,430,706,75,282,433,715
76,281,389,670,77,248,334,582
78,236,359,595,79,215,317,532
80,208,315,523,81,185,298,483
82,164,279,443,83,164,262,426
84,134,212,346,85,104,155,259
86,80,151,231,87,83,145,228
88,54,118,172,89,47,99,146
90,50,83,133,91,28,69,97
92,23,49,72,93,15,36,51
94,19,38,57,95,16,27,43
96,13,19,32,97,8,12,20
98,2,16,18,99,2,3,5
100,1,3,4,more than 100,10,15,25
