Age,M,F,SUM,Age,M,F,SUM
less than 1,199,186,385,1,231,226,457
2,229,239,468,3,263,235,498
4,245,239,484,5,237,250,487
6,258,229,487,7,291,279,570
8,299,261,560,9,339,295,634
10,352,353,705,11,409,390,799
12,397,371,768,13,372,344,716
14,339,343,682,15,345,338,683
16,358,355,713,17,388,359,747
18,331,344,675,19,390,388,778
20,350,321,671,21,"1,098",295,"1,393"
22,"1,646",373,"2,019",23,611,367,978
24,528,406,934,25,472,422,894
26,485,430,915,27,464,427,891
28,492,421,913,29,489,447,936
30,452,459,911,31,466,482,948
32,420,425,845,33,444,510,954
34,475,523,998,35,497,528,"1,025"
36,478,519,997,37,452,547,999
38,478,588,"1,066",39,471,587,"1,058"
40,492,585,"1,077",41,473,600,"1,073"
42,466,556,"1,022",43,428,577,"1,005"
44,467,558,"1,025",45,488,600,"1,088"
46,483,581,"1,064",47,500,573,"1,073"
48,469,580,"1,049",49,476,552,"1,028"
50,469,549,"1,018",51,452,550,"1,002"
52,470,543,"1,013",53,410,481,891
54,434,526,960,55,437,554,991
56,399,515,914,57,385,493,878
58,436,502,938,59,422,484,906
60,359,442,801,61,368,435,803
62,289,411,700,63,310,411,721
64,279,433,712,65,306,388,694
66,232,364,596,67,232,350,582
68,244,354,598,69,219,384,603
70,252,298,550,71,196,274,470
72,171,270,441,73,144,251,395
74,150,244,394,75,144,200,344
76,128,218,346,77,127,196,323
78,113,196,309,79,97,154,251
80,133,163,296,81,98,164,262
82,79,173,252,83,84,169,253
84,64,119,183,85,69,125,194
86,67,113,180,87,65,94,159
88,53,88,141,89,33,74,107
90,27,65,92,91,18,59,77
92,18,56,74,93,18,35,53
94,15,40,55,95,6,31,37
96,5,18,23,97,3,18,21
98,3,13,16,99,2,11,13
100,4,10,14,more than 100,10,15,25
