Age,M,F,SUM,Age,M,F,SUM
less than 1,282,256,538,1,268,253,521
2,295,261,556,3,296,345,641
4,314,293,607,5,362,360,722
6,315,315,630,7,376,373,749
8,371,345,716,9,347,363,710
10,384,360,744,11,364,368,732
12,442,395,837,13,392,379,771
14,410,400,810,15,439,442,881
16,467,427,894,17,427,444,871
18,399,493,892,19,503,504,"1,007"
20,448,498,946,21,482,501,983
22,577,612,"1,189",23,584,682,"1,266"
24,651,638,"1,289",25,618,617,"1,235"
26,594,645,"1,239",27,599,681,"1,280"
28,644,730,"1,374",29,681,736,"1,417"
30,603,708,"1,311",31,675,754,"1,429"
32,583,650,"1,233",33,656,692,"1,348"
34,612,681,"1,293",35,629,750,"1,379"
36,637,843,"1,480",37,643,779,"1,422"
38,681,765,"1,446",39,648,820,"1,468"
40,641,826,"1,467",41,583,758,"1,341"
42,632,810,"1,442",43,610,773,"1,383"
44,565,743,"1,308",45,630,754,"1,384"
46,562,721,"1,283",47,596,754,"1,350"
48,602,776,"1,378",49,616,728,"1,344"
50,605,710,"1,315",51,554,763,"1,317"
52,574,793,"1,367",53,552,770,"1,322"
54,629,754,"1,383",55,645,839,"1,484"
56,594,796,"1,390",57,536,772,"1,308"
58,523,716,"1,239",59,569,744,"1,313"
60,573,732,"1,305",61,498,740,"1,238"
62,539,718,"1,257",63,483,625,"1,108"
64,419,626,"1,045",65,422,656,"1,078"
66,421,608,"1,029",67,408,507,915
68,380,547,927,69,386,523,909
70,348,464,812,71,304,427,731
72,246,406,652,73,234,317,551
74,219,321,540,75,220,277,497
76,179,290,469,77,152,267,419
78,176,267,443,79,99,216,315
80,144,236,380,81,133,232,365
82,127,157,284,83,104,164,268
84,104,160,264,85,56,143,199
86,78,142,220,87,62,130,192
88,47,97,144,89,37,90,127
90,30,65,95,91,29,54,83
92,17,53,70,93,12,33,45
94,10,20,30,95,3,22,25
96,4,15,19,97,2,7,9
98,8,10,18,99,5,11,16
100,4,7,11,more than 100,9,14,23
