Age,M,F,SUM,Age,M,F,SUM
less than 1,112,86,198,1,99,100,199
2,135,104,239,3,142,105,247
4,137,117,254,5,139,121,260
6,148,135,283,7,152,151,303
8,166,147,313,9,168,128,296
10,181,139,320,11,185,119,304
12,215,164,379,13,188,152,340
14,190,138,328,15,212,183,395
16,194,179,373,17,199,205,404
18,239,217,456,19,233,221,454
20,221,206,427,21,231,202,433
22,258,251,509,23,281,236,517
24,279,303,582,25,290,245,535
26,288,269,557,27,283,256,539
28,279,260,539,29,240,243,483
30,301,222,523,31,289,269,558
32,237,241,478,33,250,208,458
34,248,263,511,35,209,222,431
36,225,273,498,37,264,249,513
38,246,235,481,39,272,285,557
40,300,263,563,41,295,278,573
42,297,290,587,43,289,294,583
44,265,303,568,45,235,286,521
46,287,281,568,47,279,281,560
48,278,274,552,49,272,306,578
50,249,264,513,51,263,314,577
52,326,282,608,53,252,323,575
54,293,332,625,55,275,344,619
56,311,321,632,57,262,306,568
58,307,317,624,59,315,380,695
60,303,381,684,61,305,352,657
62,295,335,630,63,269,348,617
64,257,325,582,65,283,361,644
66,270,343,613,67,252,318,570
68,248,325,573,69,241,299,540
70,223,267,490,71,208,305,513
72,186,233,419,73,144,193,337
74,144,166,310,75,114,155,269
76,99,145,244,77,128,143,271
78,91,157,248,79,90,138,228
80,104,152,256,81,103,152,255
82,94,126,220,83,74,117,191
84,79,123,202,85,59,104,163
86,47,89,136,87,51,92,143
88,38,70,108,89,30,59,89
90,28,47,75,91,21,46,67
92,18,34,52,93,12,27,39
94,17,15,32,95,14,15,29
96,11,11,22,97,11,8,19
98,14,5,19,99,10,9,19
100,6,4,10,more than 100,22,18,40
