Age,M,F,SUM,Age,M,F,SUM
less than 1,843,817,"1,660",1,"1,004",912,"1,916"
2,"1,027",949,"1,976",3,992,969,"1,961"
4,"1,038","1,040","2,078",5,"1,087","1,041","2,128"
6,"1,047",992,"2,039",7,"1,208","1,053","2,261"
8,"1,075","1,102","2,177",9,"1,033",963,"1,996"
10,"1,147","1,072","2,219",11,"1,038","1,102","2,140"
12,"1,137","1,118","2,255",13,"1,116","1,045","2,161"
14,"1,102","1,133","2,235",15,"1,126","1,095","2,221"
16,"1,119","1,069","2,188",17,"1,177",993,"2,170"
18,"1,067","1,055","2,122",19,"1,188","1,069","2,257"
20,"1,022","1,055","2,077",21,"1,017","1,150","2,167"
22,"1,188","1,204","2,392",23,"1,163","1,276","2,439"
24,"1,253","1,304","2,557",25,"1,175","1,223","2,398"
26,"1,113","1,185","2,298",27,"1,195","1,263","2,458"
28,"1,145","1,281","2,426",29,"1,158","1,380","2,538"
30,"1,102","1,258","2,360",31,"1,170","1,298","2,468"
32,"1,125","1,174","2,299",33,"1,091","1,312","2,403"
34,"1,288","1,420","2,708",35,"1,260","1,455","2,715"
36,"1,371","1,589","2,960",37,"1,372","1,718","3,090"
38,"1,437","1,748","3,185",39,"1,588","1,754","3,342"
40,"1,594","1,806","3,400",41,"1,505","1,733","3,238"
42,"1,466","1,752","3,218",43,"1,519","1,718","3,237"
44,"1,381","1,711","3,092",45,"1,356","1,695","3,051"
46,"1,319","1,602","2,921",47,"1,384","1,638","3,022"
48,"1,396","1,554","2,950",49,"1,407","1,552","2,959"
50,"1,336","1,557","2,893",51,"1,304","1,594","2,898"
52,"1,256","1,439","2,695",53,"1,115","1,342","2,457"
54,"1,203","1,375","2,578",55,"1,139","1,413","2,552"
56,"1,057","1,267","2,324",57,998,"1,295","2,293"
58,953,"1,207","2,160",59,953,"1,204","2,157"
60,836,"1,133","1,969",61,758,994,"1,752"
62,766,"1,066","1,832",63,749,971,"1,720"
64,680,854,"1,534",65,684,884,"1,568"
66,590,843,"1,433",67,581,889,"1,470"
68,538,808,"1,346",69,535,729,"1,264"
70,498,721,"1,219",71,459,578,"1,037"
72,366,541,907,73,345,511,856
74,295,453,748,75,292,400,692
76,273,416,689,77,238,366,604
78,266,348,614,79,174,306,480
80,219,301,520,81,189,259,448
82,159,258,417,83,110,205,315
84,120,178,298,85,105,162,267
86,75,141,216,87,85,141,226
88,63,110,173,89,42,89,131
90,34,71,105,91,25,65,90
92,17,57,74,93,21,43,64
94,23,22,45,95,14,15,29
96,16,25,41,97,4,10,14
98,10,14,24,99,4,10,14
100,3,6,9,more than 100,12,13,25
