Age,M,F,SUM,Age,M,F,SUM
less than 1,274,236,510,1,292,283,575
2,328,321,649,3,347,310,657
4,382,330,712,5,400,305,705
6,408,376,784,7,425,385,810
8,412,400,812,9,374,383,757
10,402,400,802,11,403,423,826
12,455,428,883,13,442,411,853
14,448,438,886,15,480,471,951
16,505,485,990,17,476,494,970
18,472,463,935,19,485,473,958
20,484,496,980,21,480,493,973
22,543,589,"1,132",23,572,578,"1,150"
24,544,574,"1,118",25,577,539,"1,116"
26,559,546,"1,105",27,583,580,"1,163"
28,504,527,"1,031",29,568,598,"1,166"
30,506,520,"1,026",31,504,509,"1,013"
32,517,472,989,33,480,565,"1,045"
34,525,567,"1,092",35,523,618,"1,141"
36,541,621,"1,162",37,529,620,"1,149"
38,598,606,"1,204",39,591,678,"1,269"
40,609,623,"1,232",41,556,618,"1,174"
42,620,651,"1,271",43,645,661,"1,306"
44,626,663,"1,289",45,622,618,"1,240"
46,512,602,"1,114",47,662,644,"1,306"
48,596,691,"1,287",49,617,658,"1,275"
50,642,632,"1,274",51,630,629,"1,259"
52,605,656,"1,261",53,573,593,"1,166"
54,623,675,"1,298",55,576,673,"1,249"
56,565,682,"1,247",57,521,651,"1,172"
58,553,579,"1,132",59,502,647,"1,149"
60,488,627,"1,115",61,464,570,"1,034"
62,400,566,966,63,389,554,943
64,346,494,840,65,396,531,927
66,411,465,876,67,320,479,799
68,339,467,806,69,318,411,729
70,281,414,695,71,253,334,587
72,227,290,517,73,198,301,499
74,184,273,457,75,154,249,403
76,147,217,364,77,157,210,367
78,142,219,361,79,114,180,294
80,122,194,316,81,128,168,296
82,93,135,228,83,82,143,225
84,73,125,198,85,69,130,199
86,55,84,139,87,54,93,147
88,33,76,109,89,32,74,106
90,27,50,77,91,33,40,73
92,17,35,52,93,15,19,34
94,6,19,25,95,8,15,23
96,10,13,23,97,7,5,12
98,3,6,9,99,3,6,9
100,4,8,12,more than 100,9,8,17
