Age,M,F,SUM,Age,M,F,SUM
less than 1,156,166,322,1,172,184,356
2,214,213,427,3,228,195,423
4,190,242,432,5,216,237,453
6,230,249,479,7,248,266,514
8,235,268,503,9,217,241,458
10,276,252,528,11,254,291,545
12,254,270,524,13,267,303,570
14,279,289,568,15,274,305,579
16,299,311,610,17,278,368,646
18,322,354,676,19,331,627,958
20,350,616,966,21,686,607,"1,293"
22,653,626,"1,279",23,540,564,"1,104"
24,555,563,"1,118",25,455,453,908
26,460,464,924,27,466,416,882
28,441,433,874,29,433,446,879
30,439,452,891,31,439,508,947
32,377,411,788,33,375,405,780
34,391,412,803,35,385,427,812
36,387,412,799,37,418,415,833
38,396,420,816,39,428,449,877
40,453,425,878,41,444,480,924
42,392,448,840,43,437,469,906
44,388,408,796,45,420,404,824
46,364,400,764,47,378,451,829
48,404,469,873,49,402,423,825
50,415,470,885,51,419,457,876
52,444,475,919,53,454,457,911
54,395,516,911,55,434,525,959
56,445,507,952,57,478,499,977
58,465,508,973,59,450,489,939
60,444,493,937,61,368,432,800
62,345,383,728,63,314,394,708
64,317,400,717,65,318,372,690
66,277,346,623,67,269,355,624
68,292,308,600,69,230,321,551
70,219,301,520,71,209,301,510
72,186,250,436,73,157,238,395
74,148,192,340,75,133,184,317
76,139,154,293,77,106,182,288
78,125,180,305,79,100,151,251
80,93,179,272,81,107,142,249
82,115,147,262,83,91,142,233
84,88,147,235,85,75,120,195
86,55,109,164,87,70,98,168
88,61,87,148,89,65,64,129
90,41,70,111,91,37,50,87
92,35,46,81,93,30,39,69
94,29,37,66,95,20,35,55
96,25,32,57,97,25,20,45
98,13,13,26,99,18,18,36
100,16,11,27,more than 100,48,35,83
