Age,M,F,SUM,Age,M,F,SUM
less than 1,783,744,"1,527",1,966,903,"1,869"
2,951,890,"1,841",3,"1,009",898,"1,907"
4,992,"1,010","2,002",5,"1,092","1,070","2,162"
6,"1,167","1,085","2,252",7,"1,212","1,266","2,478"
8,"1,232","1,122","2,354",9,"1,150","1,090","2,240"
10,"1,119","1,088","2,207",11,"1,175","1,111","2,286"
12,"1,191","1,133","2,324",13,"1,202","1,103","2,305"
14,"1,125","1,100","2,225",15,"1,266","1,182","2,448"
16,"1,230","1,178","2,408",17,"1,158","1,226","2,384"
18,"1,134","1,169","2,303",19,"1,316","1,227","2,543"
20,"1,276","1,206","2,482",21,"1,327","1,290","2,617"
22,"1,444","1,485","2,929",23,"1,567","1,473","3,040"
24,"1,584","1,500","3,084",25,"1,390","1,424","2,814"
26,"1,349","1,426","2,775",27,"1,409","1,437","2,846"
28,"1,388","1,412","2,800",29,"1,320","1,421","2,741"
30,"1,268","1,357","2,625",31,"1,269","1,384","2,653"
32,"1,249","1,388","2,637",33,"1,311","1,539","2,850"
34,"1,371","1,555","2,926",35,"1,387","1,640","3,027"
36,"1,479","1,678","3,157",37,"1,507","1,797","3,304"
38,"1,511","1,854","3,365",39,"1,703","1,908","3,611"
40,"1,684","1,877","3,561",41,"1,472","1,911","3,383"
42,"1,563","1,849","3,412",43,"1,523","1,768","3,291"
44,"1,535","1,739","3,274",45,"1,539","1,836","3,375"
46,"1,524","1,850","3,374",47,"1,616","1,930","3,546"
48,"1,677","1,887","3,564",49,"1,586","1,993","3,579"
50,"1,548","1,990","3,538",51,"1,659","2,048","3,707"
52,"1,557","1,908","3,465",53,"1,620","1,887","3,507"
54,"1,661","1,978","3,639",55,"1,622","1,900","3,522"
56,"1,477","1,718","3,195",57,"1,437","1,689","3,126"
58,"1,325","1,632","2,957",59,"1,319","1,620","2,939"
60,"1,140","1,556","2,696",61,"1,036","1,269","2,305"
62,943,"1,257","2,200",63,931,"1,198","2,129"
64,798,"1,090","1,888",65,774,"1,091","1,865"
66,683,942,"1,625",67,636,933,"1,569"
68,634,875,"1,509",69,573,788,"1,361"
70,550,729,"1,279",71,475,648,"1,123"
72,448,590,"1,038",73,378,556,934
74,373,511,884,75,317,477,794
76,302,442,744,77,265,476,741
78,269,426,695,79,241,310,551
80,216,392,608,81,213,353,566
82,172,299,471,83,172,258,430
84,138,228,366,85,128,216,344
86,101,159,260,87,83,149,232
88,72,110,182,89,60,81,141
90,40,84,124,91,30,70,100
92,34,55,89,93,24,49,73
94,16,25,41,95,17,25,42
96,8,16,24,97,6,17,23
98,2,11,13,99,5,8,13
100,6,9,15,more than 100,6,13,19
