Age,M,F,SUM,Age,M,F,SUM
less than 1,39,48,87,1,54,43,97
2,53,50,103,3,40,47,87
4,54,60,114,5,55,69,124
6,68,47,115,7,90,80,170
8,73,62,135,9,57,60,117
10,63,72,135,11,88,68,156
12,72,95,167,13,98,73,171
14,99,83,182,15,93,94,187
16,115,94,209,17,100,105,205
18,117,112,229,19,147,120,267
20,119,111,230,21,122,91,213
22,139,132,271,23,116,150,266
24,143,132,275,25,153,132,285
26,138,124,262,27,145,133,278
28,147,124,271,29,137,150,287
30,153,104,257,31,142,149,291
32,134,126,260,33,113,113,226
34,131,117,248,35,137,121,258
36,163,121,284,37,146,143,289
38,132,120,252,39,134,151,285
40,136,148,284,41,130,122,252
42,180,140,320,43,154,175,329
44,170,132,302,45,145,146,291
46,145,144,289,47,163,195,358
48,161,162,323,49,135,156,291
50,157,139,296,51,150,179,329
52,149,148,297,53,129,158,287
54,152,156,308,55,155,192,347
56,151,195,346,57,156,181,337
58,164,169,333,59,139,222,361
60,145,184,329,61,158,191,349
62,166,180,346,63,184,186,370
64,160,174,334,65,124,209,333
66,168,184,352,67,141,170,311
68,146,160,306,69,136,166,302
70,146,165,311,71,134,163,297
72,93,140,233,73,102,134,236
74,59,103,162,75,69,99,168
76,68,114,182,77,58,91,149
78,66,74,140,79,63,73,136
80,59,84,143,81,58,72,130
82,45,68,113,83,38,57,95
84,47,87,134,85,28,54,82
86,28,62,90,87,28,49,77
88,19,36,55,89,25,39,64
90,13,26,39,91,12,24,36
92,12,15,27,93,8,12,20
94,6,9,15,95,5,2,7
96,3,9,12,97,3,3,6
98,2,2,4,99,5,3,8
100,0,0,0,more than 100,8,3,11
