Age,M,F,SUM,Age,M,F,SUM
less than 1,376,343,719,1,439,391,830
2,432,449,881,3,463,447,910
4,496,510,"1,006",5,507,491,998
6,487,471,958,7,537,502,"1,039"
8,498,504,"1,002",9,554,507,"1,061"
10,539,547,"1,086",11,560,520,"1,080"
12,615,573,"1,188",13,596,579,"1,175"
14,617,619,"1,236",15,613,603,"1,216"
16,596,562,"1,158",17,551,571,"1,122"
18,541,588,"1,129",19,580,646,"1,226"
20,538,557,"1,095",21,561,579,"1,140"
22,663,688,"1,351",23,681,678,"1,359"
24,665,758,"1,423",25,658,722,"1,380"
26,631,705,"1,336",27,574,664,"1,238"
28,611,707,"1,318",29,609,677,"1,286"
30,561,627,"1,188",31,595,679,"1,274"
32,563,624,"1,187",33,615,652,"1,267"
34,632,728,"1,360",35,635,784,"1,419"
36,644,740,"1,384",37,657,859,"1,516"
38,742,869,"1,611",39,732,955,"1,687"
40,726,940,"1,666",41,729,841,"1,570"
42,752,859,"1,611",43,709,820,"1,529"
44,675,782,"1,457",45,700,792,"1,492"
46,668,785,"1,453",47,670,831,"1,501"
48,682,892,"1,574",49,672,852,"1,524"
50,646,833,"1,479",51,698,863,"1,561"
52,672,858,"1,530",53,601,838,"1,439"
54,649,774,"1,423",55,635,845,"1,480"
56,590,813,"1,403",57,608,771,"1,379"
58,568,755,"1,323",59,591,845,"1,436"
60,513,798,"1,311",61,510,685,"1,195"
62,483,700,"1,183",63,506,619,"1,125"
64,440,640,"1,080",65,433,609,"1,042"
66,440,534,974,67,398,548,946
68,379,511,890,69,351,452,803
70,340,441,781,71,295,373,668
72,259,337,596,73,196,312,508
74,160,261,421,75,175,234,409
76,156,231,387,77,140,217,357
78,134,196,330,79,88,165,253
80,109,161,270,81,101,153,254
82,68,125,193,83,89,126,215
84,65,113,178,85,47,102,149
86,35,87,122,87,42,87,129
88,26,68,94,89,16,50,66
90,19,45,64,91,18,43,61
92,9,41,50,93,6,32,38
94,7,10,17,95,4,14,18
96,3,7,10,97,4,11,15
98,1,6,7,99,2,4,6
100,1,2,3,more than 100,4,7,11
