Age,M,F,SUM,Age,M,F,SUM
less than 1,235,187,422,1,232,212,444
2,215,245,460,3,229,247,476
4,278,266,544,5,275,277,552
6,297,272,569,7,320,329,649
8,317,258,575,9,324,296,620
10,311,324,635,11,325,305,630
12,395,326,721,13,355,339,694
14,383,360,743,15,363,375,738
16,378,375,753,17,419,365,784
18,408,344,752,19,468,400,868
20,399,395,794,21,474,398,872
22,532,454,986,23,504,454,958
24,559,480,"1,039",25,464,473,937
26,441,458,899,27,472,468,940
28,514,469,983,29,497,475,972
30,486,468,954,31,577,502,"1,079"
32,435,489,924,33,438,464,902
34,507,542,"1,049",35,509,553,"1,062"
36,500,525,"1,025",37,539,537,"1,076"
38,549,597,"1,146",39,552,584,"1,136"
40,547,526,"1,073",41,505,602,"1,107"
42,515,609,"1,124",43,489,611,"1,100"
44,452,570,"1,022",45,498,571,"1,069"
46,464,565,"1,029",47,483,583,"1,066"
48,528,588,"1,116",49,470,607,"1,077"
50,490,557,"1,047",51,495,571,"1,066"
52,515,621,"1,136",53,463,598,"1,061"
54,501,603,"1,104",55,507,633,"1,140"
56,493,663,"1,156",57,505,629,"1,134"
58,491,619,"1,110",59,573,682,"1,255"
60,511,612,"1,123",61,464,604,"1,068"
62,480,627,"1,107",63,449,620,"1,069"
64,456,610,"1,066",65,456,599,"1,055"
66,432,610,"1,042",67,398,519,917
68,382,576,958,69,370,459,829
70,381,503,884,71,338,453,791
72,286,359,645,73,211,323,534
74,191,270,461,75,168,294,462
76,185,294,479,77,197,263,460
78,155,224,379,79,140,223,363
80,141,254,395,81,136,226,362
82,158,212,370,83,107,203,310
84,101,185,286,85,87,165,252
86,72,152,224,87,60,132,192
88,63,92,155,89,50,84,134
90,29,97,126,91,28,75,103
92,19,69,88,93,20,47,67
94,16,25,41,95,13,18,31
96,14,23,37,97,17,19,36
98,10,15,25,99,8,11,19
100,10,9,19,more than 100,33,33,66
