Age,M,F,SUM,Age,M,F,SUM
less than 1,532,445,977,1,606,465,"1,071"
2,561,574,"1,135",3,616,612,"1,228"
4,574,597,"1,171",5,633,626,"1,259"
6,602,556,"1,158",7,631,674,"1,305"
8,622,605,"1,227",9,644,641,"1,285"
10,711,648,"1,359",11,647,675,"1,322"
12,721,688,"1,409",13,705,679,"1,384"
14,725,682,"1,407",15,703,653,"1,356"
16,655,667,"1,322",17,654,741,"1,395"
18,684,674,"1,358",19,744,730,"1,474"
20,636,696,"1,332",21,707,724,"1,431"
22,788,829,"1,617",23,795,806,"1,601"
24,779,852,"1,631",25,769,830,"1,599"
26,808,824,"1,632",27,860,900,"1,760"
28,839,903,"1,742",29,873,904,"1,777"
30,798,903,"1,701",31,849,920,"1,769"
32,766,977,"1,743",33,898,"1,006","1,904"
34,922,"1,172","2,094",35,922,"1,174","2,096"
36,980,"1,207","2,187",37,937,"1,219","2,156"
38,"1,041","1,241","2,282",39,997,"1,275","2,272"
40,"1,053","1,273","2,326",41,934,"1,250","2,184"
42,987,"1,226","2,213",43,950,"1,195","2,145"
44,868,"1,125","1,993",45,949,"1,107","2,056"
46,857,"1,001","1,858",47,900,"1,068","1,968"
48,813,"1,137","1,950",49,872,"1,096","1,968"
50,791,"1,085","1,876",51,795,"1,051","1,846"
52,769,976,"1,745",53,707,"1,006","1,713"
54,768,973,"1,741",55,760,908,"1,668"
56,703,900,"1,603",57,702,914,"1,616"
58,654,824,"1,478",59,652,840,"1,492"
60,617,821,"1,438",61,565,768,"1,333"
62,517,781,"1,298",63,509,697,"1,206"
64,505,712,"1,217",65,463,725,"1,188"
66,447,684,"1,131",67,467,633,"1,100"
68,428,583,"1,011",69,436,618,"1,054"
70,379,551,930,71,341,560,901
72,330,492,822,73,294,413,707
74,265,351,616,75,259,370,629
76,232,332,564,77,209,309,518
78,204,316,520,79,159,239,398
80,184,293,477,81,156,225,381
82,118,198,316,83,110,183,293
84,98,190,288,85,99,156,255
86,75,135,210,87,57,129,186
88,40,104,144,89,29,79,108
90,28,64,92,91,26,55,81
92,22,46,68,93,6,27,33
94,19,29,48,95,9,27,36
96,10,12,22,97,2,20,22
98,3,9,12,99,3,4,7
100,1,2,3,more than 100,12,18,30
