Age,M,F,SUM,Age,M,F,SUM
less than 1,364,301,665,1,319,358,677
2,371,375,746,3,354,340,694
4,417,409,826,5,454,408,862
6,420,397,817,7,494,472,966
8,515,445,960,9,511,461,972
10,515,489,"1,004",11,527,473,"1,000"
12,579,495,"1,074",13,491,533,"1,024"
14,545,511,"1,056",15,544,500,"1,044"
16,540,505,"1,045",17,542,534,"1,076"
18,542,528,"1,070",19,669,583,"1,252"
20,563,536,"1,099",21,616,589,"1,205"
22,703,695,"1,398",23,720,698,"1,418"
24,775,774,"1,549",25,724,739,"1,463"
26,695,715,"1,410",27,680,696,"1,376"
28,692,683,"1,375",29,742,691,"1,433"
30,656,671,"1,327",31,672,670,"1,342"
32,634,639,"1,273",33,656,695,"1,351"
34,675,727,"1,402",35,663,692,"1,355"
36,694,813,"1,507",37,721,758,"1,479"
38,776,785,"1,561",39,782,850,"1,632"
40,767,888,"1,655",41,743,807,"1,550"
42,773,870,"1,643",43,784,859,"1,643"
44,712,831,"1,543",45,708,824,"1,532"
46,686,819,"1,505",47,750,828,"1,578"
48,725,900,"1,625",49,738,904,"1,642"
50,711,892,"1,603",51,702,980,"1,682"
52,747,936,"1,683",53,713,939,"1,652"
54,783,940,"1,723",55,796,977,"1,773"
56,757,965,"1,722",57,779,920,"1,699"
58,700,909,"1,609",59,737,948,"1,685"
60,685,917,"1,602",61,641,893,"1,534"
62,624,833,"1,457",63,672,838,"1,510"
64,616,834,"1,450",65,597,803,"1,400"
66,561,690,"1,251",67,518,692,"1,210"
68,444,702,"1,146",69,430,655,"1,085"
70,434,625,"1,059",71,403,526,929
72,347,486,833,73,330,427,757
74,279,401,680,75,251,388,639
76,247,286,533,77,221,316,537
78,240,326,566,79,181,246,427
80,162,284,446,81,167,243,410
82,166,234,400,83,131,221,352
84,112,196,308,85,106,159,265
86,67,119,186,87,77,120,197
88,51,99,150,89,48,88,136
90,35,87,122,91,24,53,77
92,26,47,73,93,17,47,64
94,8,34,42,95,6,20,26
96,4,15,19,97,5,14,19
98,2,6,8,99,7,6,13
100,7,3,10,more than 100,13,16,29
