Age,M,F,SUM,Age,M,F,SUM
less than 1,259,252,511,1,253,271,524
2,323,291,614,3,293,287,580
4,316,313,629,5,347,299,646
6,360,328,688,7,398,360,758
8,418,348,766,9,384,351,735
10,393,394,787,11,393,398,791
12,418,412,830,13,431,428,859
14,405,398,803,15,467,420,887
16,485,407,892,17,428,406,834
18,405,413,818,19,479,527,"1,006"
20,414,494,908,21,462,478,940
22,539,562,"1,101",23,586,569,"1,155"
24,619,606,"1,225",25,554,588,"1,142"
26,568,549,"1,117",27,516,564,"1,080"
28,531,530,"1,061",29,504,574,"1,078"
30,492,531,"1,023",31,498,530,"1,028"
32,449,470,919,33,515,495,"1,010"
34,510,524,"1,034",35,478,547,"1,025"
36,499,553,"1,052",37,475,570,"1,045"
38,484,587,"1,071",39,526,592,"1,118"
40,572,619,"1,191",41,543,606,"1,149"
42,520,622,"1,142",43,534,623,"1,157"
44,539,615,"1,154",45,513,676,"1,189"
46,521,662,"1,183",47,553,669,"1,222"
48,573,726,"1,299",49,549,737,"1,286"
50,573,725,"1,298",51,563,725,"1,288"
52,529,705,"1,234",53,555,700,"1,255"
54,573,759,"1,332",55,609,734,"1,343"
56,579,784,"1,363",57,607,744,"1,351"
58,560,700,"1,260",59,523,747,"1,270"
60,610,721,"1,331",61,535,708,"1,243"
62,518,693,"1,211",63,475,633,"1,108"
64,473,588,"1,061",65,441,593,"1,034"
66,417,532,949,67,359,488,847
68,371,423,794,69,314,435,749
70,295,376,671,71,254,330,584
72,231,299,530,73,205,274,479
74,185,231,416,75,160,210,370
76,146,228,374,77,140,204,344
78,114,199,313,79,104,142,246
80,116,140,256,81,91,174,265
82,97,129,226,83,87,132,219
84,63,115,178,85,60,93,153
86,58,81,139,87,36,89,125
88,19,70,89,89,28,63,91
90,12,46,58,91,14,44,58
92,17,26,43,93,5,21,26
94,9,19,28,95,7,10,17
96,4,16,20,97,4,5,9
98,4,2,6,99,5,1,6
100,3,3,6,more than 100,3,4,7
