Age,M,F,SUM,Age,M,F,SUM
less than 1,279,246,525,1,310,329,639
2,347,345,692,3,343,366,709
4,363,321,684,5,358,352,710
6,432,423,855,7,442,432,874
8,440,441,881,9,450,457,907
10,451,452,903,11,453,456,909
12,470,499,969,13,451,477,928
14,502,514,"1,016",15,524,519,"1,043"
16,522,500,"1,022",17,513,545,"1,058"
18,523,581,"1,104",19,660,644,"1,304"
20,621,612,"1,233",21,639,673,"1,312"
22,704,764,"1,468",23,681,707,"1,388"
24,700,820,"1,520",25,747,750,"1,497"
26,736,808,"1,544",27,727,805,"1,532"
28,728,761,"1,489",29,710,771,"1,481"
30,741,687,"1,428",31,713,713,"1,426"
32,668,670,"1,338",33,697,743,"1,440"
34,741,743,"1,484",35,754,784,"1,538"
36,768,800,"1,568",37,762,819,"1,581"
38,789,792,"1,581",39,833,800,"1,633"
40,801,875,"1,676",41,761,768,"1,529"
42,752,852,"1,604",43,771,843,"1,614"
44,731,789,"1,520",45,716,792,"1,508"
46,693,791,"1,484",47,702,799,"1,501"
48,787,802,"1,589",49,689,847,"1,536"
50,732,816,"1,548",51,743,917,"1,660"
52,758,894,"1,652",53,729,812,"1,541"
54,747,851,"1,598",55,779,869,"1,648"
56,730,852,"1,582",57,732,892,"1,624"
58,727,851,"1,578",59,712,872,"1,584"
60,732,882,"1,614",61,716,834,"1,550"
62,661,841,"1,502",63,637,815,"1,452"
64,598,737,"1,335",65,594,777,"1,371"
66,524,692,"1,216",67,536,684,"1,220"
68,490,640,"1,130",69,470,650,"1,120"
70,412,608,"1,020",71,381,499,880
72,341,482,823,73,278,405,683
74,260,412,672,75,264,367,631
76,204,372,576,77,208,340,548
78,220,304,524,79,202,272,474
80,189,332,521,81,168,298,466
82,159,259,418,83,135,263,398
84,125,237,362,85,123,206,329
86,107,158,265,87,83,180,263
88,56,171,227,89,48,126,174
90,43,98,141,91,37,67,104
92,23,79,102,93,19,52,71
94,25,37,62,95,16,43,59
96,15,15,30,97,9,20,29
98,12,17,29,99,8,13,21
100,3,10,13,more than 100,20,29,49
