Age,M,F,SUM,Age,M,F,SUM
less than 1,479,438,917,1,496,504,"1,000"
2,614,554,"1,168",3,570,526,"1,096"
4,618,568,"1,186",5,673,611,"1,284"
6,662,590,"1,252",7,687,670,"1,357"
8,665,672,"1,337",9,626,638,"1,264"
10,678,664,"1,342",11,694,663,"1,357"
12,768,732,"1,500",13,747,737,"1,484"
14,769,744,"1,513",15,819,730,"1,549"
16,722,754,"1,476",17,776,766,"1,542"
18,773,736,"1,509",19,845,842,"1,687"
20,784,718,"1,502",21,779,789,"1,568"
22,855,972,"1,827",23,896,951,"1,847"
24,906,989,"1,895",25,928,863,"1,791"
26,868,828,"1,696",27,835,899,"1,734"
28,811,870,"1,681",29,791,826,"1,617"
30,754,842,"1,596",31,798,865,"1,663"
32,689,792,"1,481",33,728,788,"1,516"
34,806,889,"1,695",35,876,888,"1,764"
36,874,"1,004","1,878",37,904,965,"1,869"
38,912,"1,060","1,972",39,"1,020","1,118","2,138"
40,"1,020","1,045","2,065",41,931,"1,077","2,008"
42,960,"1,096","2,056",43,"1,019","1,067","2,086"
44,928,"1,048","1,976",45,944,"1,098","2,042"
46,876,"1,056","1,932",47,875,"1,092","1,967"
48,935,"1,174","2,109",49,912,"1,152","2,064"
50,898,"1,084","1,982",51,889,"1,115","2,004"
52,880,"1,119","1,999",53,906,"1,025","1,931"
54,895,"1,043","1,938",55,859,"1,088","1,947"
56,785,"1,063","1,848",57,849,947,"1,796"
58,754,982,"1,736",59,767,959,"1,726"
60,691,898,"1,589",61,682,870,"1,552"
62,623,810,"1,433",63,615,755,"1,370"
64,511,736,"1,247",65,510,731,"1,241"
66,502,630,"1,132",67,442,588,"1,030"
68,407,586,993,69,368,584,952
70,384,517,901,71,331,448,779
72,258,381,639,73,266,358,624
74,226,351,577,75,218,338,556
76,189,304,493,77,160,245,405
78,171,295,466,79,115,189,304
80,136,228,364,81,107,211,318
82,117,204,321,83,95,144,239
84,96,155,251,85,69,113,182
86,55,107,162,87,41,82,123
88,31,69,100,89,26,69,95
90,20,50,70,91,17,49,66
92,14,30,44,93,8,18,26
94,5,17,22,95,6,10,16
96,2,9,11,97,1,4,5
98,4,3,7,99,0,2,2
100,3,5,8,more than 100,5,8,13
