Age,M,F,SUM,Age,M,F,SUM
less than 1,345,294,639,1,364,327,691
2,397,448,845,3,431,415,846
4,473,448,921,5,483,497,980
6,475,542,"1,017",7,575,523,"1,098"
8,533,592,"1,125",9,572,553,"1,125"
10,617,650,"1,267",11,690,638,"1,328"
12,738,686,"1,424",13,709,693,"1,402"
14,662,640,"1,302",15,676,640,"1,316"
16,627,613,"1,240",17,643,604,"1,247"
18,624,641,"1,265",19,687,666,"1,353"
20,616,641,"1,257",21,605,630,"1,235"
22,674,758,"1,432",23,726,742,"1,468"
24,739,772,"1,511",25,700,711,"1,411"
26,733,701,"1,434",27,726,724,"1,450"
28,714,732,"1,446",29,685,728,"1,413"
30,640,731,"1,371",31,638,688,"1,326"
32,605,668,"1,273",33,665,731,"1,396"
34,698,738,"1,436",35,666,878,"1,544"
36,757,919,"1,676",37,759,959,"1,718"
38,764,"1,030","1,794",39,827,"1,040","1,867"
40,817,"1,051","1,868",41,805,"1,068","1,873"
42,824,"1,038","1,862",43,824,"1,046","1,870"
44,745,997,"1,742",45,780,"1,027","1,807"
46,792,945,"1,737",47,822,"1,038","1,860"
48,864,"1,085","1,949",49,815,"1,067","1,882"
50,752,995,"1,747",51,824,986,"1,810"
52,717,958,"1,675",53,691,896,"1,587"
54,723,926,"1,649",55,766,938,"1,704"
56,711,932,"1,643",57,699,863,"1,562"
58,632,834,"1,466",59,637,848,"1,485"
60,629,786,"1,415",61,599,748,"1,347"
62,509,738,"1,247",63,510,673,"1,183"
64,470,694,"1,164",65,493,669,"1,162"
66,454,617,"1,071",67,490,560,"1,050"
68,386,610,996,69,394,530,924
70,374,485,859,71,302,488,790
72,274,422,696,73,246,413,659
74,222,334,556,75,221,352,573
76,218,330,548,77,181,303,484
78,190,284,474,79,147,233,380
80,161,250,411,81,140,229,369
82,163,236,399,83,127,192,319
84,94,199,293,85,87,165,252
86,77,152,229,87,62,127,189
88,63,105,168,89,33,97,130
90,36,68,104,91,24,63,87
92,32,53,85,93,24,40,64
94,14,45,59,95,5,21,26
96,4,15,19,97,11,10,21
98,3,8,11,99,5,9,14
100,2,5,7,more than 100,9,17,26
