Age,M,F,SUM,Age,M,F,SUM
less than 1,198,217,415,1,237,239,476
2,268,240,508,3,297,291,588
4,284,263,547,5,291,281,572
6,288,300,588,7,301,339,640
8,297,258,555,9,288,298,586
10,320,301,621,11,327,330,657
12,319,311,630,13,333,332,665
14,325,370,695,15,354,320,674
16,356,364,720,17,358,334,692
18,342,387,729,19,371,368,739
20,355,350,705,21,322,381,703
22,386,402,788,23,373,413,786
24,417,425,842,25,365,429,794
26,417,436,853,27,406,404,810
28,443,456,899,29,400,438,838
30,421,414,835,31,420,464,884
32,437,475,912,33,459,447,906
34,449,556,"1,005",35,465,530,995
36,464,582,"1,046",37,442,573,"1,015"
38,479,601,"1,080",39,482,681,"1,163"
40,486,620,"1,106",41,462,651,"1,113"
42,468,630,"1,098",43,462,571,"1,033"
44,458,564,"1,022",45,425,569,994
46,424,605,"1,029",47,439,611,"1,050"
48,485,635,"1,120",49,488,590,"1,078"
50,457,614,"1,071",51,463,550,"1,013"
52,438,531,969,53,415,537,952
54,410,554,964,55,396,533,929
56,394,525,919,57,379,522,901
58,387,538,925,59,350,544,894
60,406,486,892,61,382,509,891
62,392,459,851,63,361,493,854
64,343,433,776,65,317,521,838
66,363,454,817,67,324,445,769
68,342,395,737,69,282,427,709
70,295,420,715,71,278,356,634
72,222,357,579,73,235,309,544
74,219,291,510,75,188,264,452
76,194,294,488,77,184,225,409
78,153,241,394,79,134,232,366
80,146,232,378,81,146,203,349
82,144,175,319,83,128,201,329
84,110,184,294,85,107,172,279
86,114,150,264,87,86,134,220
88,85,112,197,89,83,116,199
90,70,103,173,91,59,109,168
92,45,83,128,93,31,80,111
94,31,53,84,95,25,53,78
96,24,36,60,97,21,26,47
98,25,26,51,99,22,34,56
100,11,19,30,more than 100,61,71,132
