Age,M,F,SUM,Age,M,F,SUM
less  than 1,258,230,488,1,267,259,526
2,309,293,602,3,287,292,579
4,320,300,620,5,374,339,713
6,348,337,685,7,369,370,739
8,372,346,718,9,388,303,691
10,394,361,755,11,365,349,714
12,384,372,756,13,382,364,746
14,397,365,762,15,434,412,846
16,404,363,767,17,438,409,847
18,404,417,821,19,460,412,872
20,370,439,809,21,420,428,848
22,444,491,935,23,523,519,"1,042"
24,536,515,"1,051",25,509,445,954
26,478,471,949,27,455,505,960
28,474,504,978,29,509,541,"1,050"
30,491,502,993,31,532,552,"1,084"
32,520,470,990,33,531,523,"1,054"
34,527,594,"1,121",35,563,638,"1,201"
36,552,647,"1,199",37,612,652,"1,264"
38,580,681,"1,261",39,581,673,"1,254"
40,592,723,"1,315",41,540,656,"1,196"
42,562,701,"1,263",43,591,702,"1,293"
44,528,664,"1,192",45,503,673,"1,176"
46,486,636,"1,122",47,518,617,"1,135"
48,488,665,"1,153",49,522,641,"1,163"
50,471,652,"1,123",51,506,664,"1,170"
52,498,629,"1,127",53,471,597,"1,068"
54,470,618,"1,088",55,520,681,"1,201"
56,512,656,"1,168",57,478,630,"1,108"
58,446,603,"1,049",59,468,655,"1,123"
60,467,607,"1,074",61,441,527,968
62,436,536,972,63,445,564,"1,009"
64,385,555,940,65,385,593,978
66,394,491,885,67,373,447,820
68,355,472,827,69,343,452,795
70,336,449,785,71,247,370,617
72,244,298,542,73,204,305,509
74,191,256,447,75,184,246,430
76,187,220,407,77,135,190,325
78,144,220,364,79,107,179,286
80,129,158,287,81,106,168,274
82,96,139,235,83,81,147,228
84,89,118,207,85,70,131,201
86,61,101,162,87,46,94,140
88,53,67,120,89,40,70,110
90,31,63,94,91,25,52,77
92,22,34,56,93,26,39,65
94,10,14,24,95,11,21,32
96,9,13,22,97,8,13,21
98,7,10,17,99,8,9,17
100,8,8,16,more than 100,17,25,42
