,Cluster Labels,District,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,1,Bang Bon,Noodle House,Convenience Store,Fast Food Restaurant,Coffee Shop,Gym / Fitness Center,Chinese Restaurant,Restaurant,Thai Restaurant,Som Tum Restaurant,Grocery Store
1,0,Bang Kapi,Coffee Shop,Noodle House,Som Tum Restaurant,Japanese Restaurant,Thai Restaurant,Clothing Store,Steakhouse,Dessert Shop,Fast Food Restaurant,Market
2,3,Bang Khae,Convenience Store,Noodle House,Cafe,Coffee Shop,Shopping Mall,Thai Restaurant,Asian Restaurant,Diner,Som Tum Restaurant,Bus Stop
3,1,Bang Khen,Fast Food Restaurant,Convenience Store,Noodle House,Asian Restaurant,Coffee Shop,Thai Restaurant,Hotpot Restaurant,Bookstore,Steakhouse,Restaurant
4,1,Bang Kho Laem,Thai Restaurant,Coffee Shop,Noodle House,Convenience Store,Chinese Restaurant,Caf?,Ice Cream Shop,Seafood Restaurant,Pub,Shopping Mall
5,0,Bang Khun Thian,Coffee Shop,Thai Restaurant,Noodle House,Japanese Restaurant,Asian Restaurant,Department Store,Pizza Place,Hotpot Restaurant,Ice Cream Shop,Gym / Fitness Center
6,1,Bang Na,Thai Restaurant,Coffee Shop,Fast Food Restaurant,Convenience Store,Cafe,Noodle House,Gas Station,Asian Restaurant,Restaurant,Pier
7,3,Bang Phlat,Thai Restaurant,Convenience Store,Noodle House,Cafe,Coffee Shop,Fast Food Restaurant,Hotel,Ice Cream Shop,Bakery,Japanese Restaurant
8,5,Bang Rak,Thai Restaurant,Noodle House,Cafe,Hotel,Coffee Shop,Chinese Restaurant,Spa,Seafood Restaurant,Hostel,Bakery
9,3,Bang Sue,Noodle House,Thai Restaurant,Convenience Store,Ice Cream Shop,Coffee Shop,Train Station,Hotpot Restaurant,Clothing Store,Market,BBQ Joint
10,0,Bangkok Noi,Noodle House,Cafe,Coffee Shop,Convenience Store,Supermarket,Som Tum Restaurant,Dessert Shop,Diner,Sushi Restaurant,Bar
11,3,Bangkok Yai,Noodle House,Convenience Store,Japanese Restaurant,Chinese Restaurant,Train Station,Coffee Shop,Dessert Shop,Hotpot Restaurant,Asian Restaurant,Seafood Restaurant
12,1,Bueng Kum,Thai Restaurant,Noodle House,Supermarket,Coffee Shop,Convenience Store,Cafe,Ice Cream Shop,Hotpot Restaurant,Dessert Shop,Fast Food Restaurant
13,0,Chatuchak,Coffee Shop,Thai Restaurant,Cafe,Gym / Fitness Center,Flea Market,Dessert Shop,Hotpot Restaurant,Fast Food Restaurant,Shopping Mall,Clothing Store
14,4,Chom Thong,Convenience Store,Thai Restaurant,Coffee Shop,Noodle House,Bus Station,Asian Restaurant,Hotpot Restaurant,Fast Food Restaurant,Bus Stop,Grocery Store
15,1,Din Daeng,Coffee Shop,Noodle House,Bar,Thai Restaurant,Convenience Store,Restaurant,Hotel,Bakery,Sushi Restaurant,Caf?
16,1,Don Mueang,Coffee Shop,Convenience Store,Noodle House,Fast Food Restaurant,Airport Service,Restaurant,Thai Restaurant,Hotel,Airport,Sushi Restaurant
17,2,Dusit,Noodle House,Thai Restaurant,Coffee Shop,Cafe,Asian Restaurant,Museum,Palace,Chinese Restaurant,Som Tum Restaurant,Dessert Shop
18,1,Huai Khwang,Thai Restaurant,Noodle House,Hotel,Convenience Store,Coffee Shop,Dessert Shop,Japanese Restaurant,Korean Restaurant,Seafood Restaurant,Caf?
